# ACTS Test Suite Generation: Tue Dec 15 09:46:01 JST 2020
#  '*' represents don't care value 
# Degree of interaction coverage: 2
# Number of parameters: 13
# Maximum number of values per parameter: 101
# Number of configurations: 11442
p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13
6,0,2,13,0,76,2,2,1,77,33,78,77
7,0,3,14,1,77,3,3,0,78,34,79,78
8,0,4,15,2,78,4,4,1,79,35,80,79
9,0,5,0,3,79,5,0,0,80,36,81,80
1,0,6,1,4,80,0,3,1,81,37,82,81
2,0,7,2,5,81,3,4,0,82,38,83,82
3,0,8,3,6,82,1,0,1,83,39,84,83
4,0,9,4,0,83,2,1,0,84,40,85,84
5,0,10,5,1,84,2,2,1,85,41,86,85
6,0,11,6,2,85,3,3,0,86,42,87,86
7,0,12,7,3,86,4,4,1,87,43,88,87
8,0,13,8,4,87,5,0,0,88,0,89,88
9,0,14,9,5,88,0,2,1,89,1,90,89
1,0,15,10,6,89,1,3,0,90,2,91,90
2,0,16,11,0,90,2,4,1,91,3,92,91
3,0,17,12,1,91,3,1,1,92,4,93,92
4,0,18,13,2,92,4,2,0,93,5,94,93
5,0,19,14,3,93,5,3,1,94,6,95,94
6,0,20,15,4,94,0,4,0,95,7,96,95
7,0,21,0,5,95,1,0,1,96,8,97,96
8,0,22,1,6,96,2,1,0,97,9,98,97
9,0,23,2,0,97,3,2,1,98,10,99,98
1,0,24,3,1,98,4,3,0,99,11,1,99
7,0,25,4,2,99,5,4,0,0,12,2,100
8,0,26,5,3,100,0,0,0,1,13,3,0
9,1,27,6,4,0,5,0,1,3,14,5,2
1,1,28,7,5,1,0,1,0,4,15,6,3
2,1,29,8,6,2,1,2,1,5,16,7,4
3,1,30,9,0,3,2,3,0,6,17,8,5
4,1,31,10,1,4,3,4,1,7,18,9,6
5,1,32,11,2,5,4,0,0,8,19,10,7
6,1,33,12,3,6,5,1,0,9,20,11,8
7,1,34,13,4,7,1,2,1,10,21,12,9
8,1,35,14,5,8,2,3,0,11,22,13,10
9,1,36,15,6,9,3,4,1,12,23,14,11
1,1,37,0,0,10,4,0,1,13,24,15,12
2,1,38,1,2,11,5,1,0,14,25,16,13
3,1,39,2,3,12,0,2,1,15,26,17,14
4,1,40,3,4,13,1,3,1,16,27,18,15
5,1,41,4,5,14,2,4,1,17,28,19,16
6,1,42,5,6,15,3,0,1,18,29,20,17
7,1,43,6,0,16,4,1,1,19,30,21,18
8,1,44,7,1,17,1,2,0,20,31,22,19
9,1,45,8,2,18,0,3,1,21,32,23,20
1,1,46,9,3,19,1,4,0,22,33,24,21
2,1,47,10,4,20,2,0,1,23,34,25,22
3,1,48,11,5,21,3,1,0,24,35,26,23
4,1,49,12,6,22,4,2,1,25,36,27,24
5,1,50,13,0,23,5,1,0,26,37,28,25
6,1,51,14,1,24,0,2,1,27,38,29,26
7,1,52,15,2,25,2,3,0,28,39,30,27
8,1,53,0,3,26,3,4,1,29,40,31,28
9,1,54,1,4,27,4,0,0,30,41,32,29
1,1,55,2,5,28,5,1,1,31,42,33,30
2,1,56,3,6,29,0,2,0,32,43,34,31
2,1,57,4,0,30,1,3,1,33,0,35,32
3,1,58,5,1,31,2,4,0,34,1,36,33
4,1,59,6,2,32,3,0,1,35,2,37,34
5,1,60,7,3,33,4,1,1,36,3,38,35
6,1,61,8,4,34,5,2,0,37,4,39,36
7,1,62,9,5,35,0,3,1,38,5,40,37
8,1,63,10,6,36,1,4,0,39,6,41,38
9,1,64,11,0,37,2,0,1,40,7,42,39
1,1,65,12,1,38,3,1,0,41,8,43,40
2,1,66,13,2,39,4,2,1,42,9,44,41
3,1,67,14,3,40,5,3,0,43,10,45,42
4,1,68,15,4,41,0,4,1,44,11,46,43
5,1,69,0,5,42,1,0,0,45,12,47,44
6,1,70,1,6,43,2,1,1,46,13,48,45
7,1,71,2,0,44,3,2,0,47,14,49,46
8,1,72,3,1,45,4,3,1,48,15,50,47
9,1,73,4,2,46,5,4,0,49,16,51,48
1,1,74,5,3,47,0,0,1,50,17,52,49
2,1,0,6,4,48,1,1,0,51,18,53,50
3,1,1,7,5,49,3,2,0,52,19,54,51
4,1,2,8,6,50,4,3,0,53,20,55,52
5,1,3,9,0,51,5,4,0,54,21,56,53
6,1,4,10,1,52,0,0,0,55,22,57,54
7,1,5,11,2,53,1,1,1,56,23,58,55
8,1,6,12,3,54,2,2,0,57,24,59,56
9,1,7,13,4,55,3,3,1,58,25,60,57
1,1,8,14,5,56,4,4,0,59,26,61,58
2,1,9,15,6,57,5,0,0,60,27,62,59
3,1,10,0,0,58,0,1,1,61,28,63,60
4,1,11,1,1,59,1,2,0,62,29,64,61
5,1,12,2,2,60,2,3,1,63,30,65,62
6,1,13,3,3,61,3,4,0,64,31,66,63
7,1,14,4,4,62,4,0,1,65,32,67,64
8,1,15,5,5,63,5,1,0,66,33,68,65
9,1,16,6,6,64,0,2,1,67,34,69,66
1,1,17,7,0,65,2,3,0,68,35,70,67
3,1,18,8,1,66,3,4,1,69,36,71,68
4,1,19,9,2,67,4,0,0,70,37,72,69
5,1,20,10,3,68,5,1,1,71,38,73,70
6,1,21,11,4,69,0,2,0,72,39,74,71
7,1,22,12,5,70,1,3,1,73,40,75,72
8,1,23,13,6,71,2,4,0,74,41,76,73
9,1,24,14,0,72,3,0,1,75,42,77,74
1,1,25,15,1,73,1,1,1,76,43,78,75
3,1,26,0,2,74,2,2,0,77,0,79,76
4,1,27,2,3,75,0,3,1,78,1,80,77
5,1,28,3,4,76,1,4,0,79,2,81,78
6,1,29,4,5,77,5,0,1,80,3,82,79
7,1,30,5,6,78,0,1,0,81,4,83,80
8,1,31,6,0,79,4,2,1,82,5,84,81
9,1,32,7,1,80,5,2,0,83,6,85,82
1,1,33,8,2,81,3,3,1,84,7,86,83
2,1,34,9,3,82,4,4,0,85,8,87,84
3,1,35,10,4,83,5,0,1,86,9,88,85
4,1,36,11,5,84,0,1,0,87,10,89,86
5,1,37,12,6,85,1,1,1,88,11,90,87
6,1,38,13,1,86,2,3,0,89,12,91,88
7,1,39,14,2,87,3,1,1,90,13,92,89
8,1,40,15,3,88,4,1,0,91,14,93,90
9,1,41,0,4,89,5,0,1,92,15,94,91
1,1,42,1,5,90,0,3,0,93,16,95,92
2,1,43,2,6,91,1,4,1,94,17,96,93
3,1,44,3,0,92,2,0,0,95,18,97,94
4,1,45,4,1,93,3,2,1,96,19,98,95
5,1,46,5,2,94,4,3,0,97,20,99,96
6,1,47,6,3,95,0,4,1,98,21,1,97
2,1,48,7,4,96,1,4,0,99,22,4,98
2,1,49,8,5,97,2,0,1,0,23,3,99
9,1,50,9,6,98,0,1,1,2,24,4,100
3,1,51,10,0,99,1,2,1,3,25,6,0
4,1,52,11,1,100,5,3,1,4,26,7,1
5,2,53,12,2,0,4,4,0,5,27,8,3
6,2,54,13,3,1,5,0,1,6,28,9,4
7,2,55,14,4,2,2,1,0,7,29,10,5
8,2,56,15,5,3,3,2,1,8,30,11,6
9,2,57,0,6,4,0,3,0,9,31,12,7
1,2,58,1,0,5,1,4,1,10,32,13,8
2,2,59,2,1,6,0,0,0,11,33,14,9
3,2,60,3,2,7,1,1,0,12,34,15,10
4,2,61,4,3,8,1,2,0,13,35,16,11
5,2,62,5,4,9,2,3,1,14,36,17,12
6,2,63,6,5,10,2,4,0,15,37,18,13
7,2,64,7,6,11,3,0,0,16,38,19,14
8,2,65,8,0,12,4,1,0,17,39,20,15
9,2,66,9,1,13,5,2,0,18,40,21,16
1,2,67,10,2,14,0,3,1,19,41,22,17
2,2,68,11,3,15,2,4,0,20,42,23,18
3,2,69,12,4,16,3,0,1,21,43,24,19
4,2,70,13,5,17,4,1,0,22,0,25,20
5,2,71,14,6,18,5,2,1,23,1,26,21
6,2,72,15,0,19,5,3,0,24,2,27,22
7,2,73,0,1,20,1,4,1,25,3,28,23
8,2,74,1,2,21,2,0,0,26,4,29,24
9,2,0,2,3,22,3,1,1,27,5,30,25
1,2,1,3,4,23,4,3,0,28,6,31,26
2,2,2,4,5,24,5,4,1,29,7,32,27
3,2,3,5,6,25,0,2,0,30,8,33,28
4,2,4,6,0,26,1,3,1,31,9,34,29
5,2,5,7,1,27,2,2,0,32,10,35,30
6,2,6,8,2,28,3,0,1,33,11,36,31
7,2,7,9,3,29,4,1,1,34,12,37,32
8,2,8,10,4,30,5,2,0,35,13,38,33
9,2,9,11,5,31,0,3,1,36,14,39,34
1,2,10,12,6,32,1,4,0,37,15,40,35
2,2,11,13,0,33,3,0,1,38,16,41,36
3,2,12,14,1,34,4,1,1,39,17,42,37
4,2,13,15,2,35,5,2,0,40,18,43,38
5,2,14,0,3,36,0,1,1,41,19,44,39
6,2,15,1,4,37,1,2,0,42,20,45,40
7,2,16,2,5,38,2,3,1,43,21,46,41
8,2,17,3,6,39,3,4,0,44,22,47,42
9,2,18,4,0,40,4,0,1,45,23,48,43
3,2,19,5,1,41,3,1,0,46,24,49,44
4,2,20,6,2,42,4,2,1,47,25,50,45
5,2,21,7,3,43,2,3,0,48,26,51,46
6,2,22,8,4,44,0,4,1,49,27,52,47
7,2,23,9,5,45,1,0,0,50,28,53,48
8,2,24,10,6,46,2,1,1,51,29,54,49
9,2,25,11,0,47,3,2,0,52,30,55,50
1,2,26,12,1,48,4,3,1,53,31,56,51
2,2,27,13,2,49,1,4,1,54,32,57,52
3,2,28,14,3,50,2,0,1,55,33,58,53
4,2,29,15,4,51,3,1,0,56,34,59,54
5,2,30,0,5,52,5,4,1,57,35,60,55
6,2,31,1,6,53,0,0,0,58,36,61,56
7,2,32,2,0,54,1,3,1,59,37,62,57
8,2,33,3,1,55,1,4,0,60,38,63,58
9,2,34,4,2,56,2,0,1,61,39,64,59
1,2,35,5,3,57,4,2,0,62,40,65,60
2,2,36,6,4,58,5,3,0,63,41,66,61
3,2,37,7,5,59,0,4,1,64,42,67,62
4,2,38,8,0,60,0,0,0,65,43,68,63
1,2,39,9,1,61,2,3,1,66,0,69,64
6,2,40,10,2,62,3,2,0,67,1,70,65
7,2,41,11,3,63,4,2,1,68,2,71,66
8,2,42,12,4,64,5,1,0,69,3,72,67
9,2,43,13,5,65,0,0,1,70,4,73,68
1,2,44,14,6,66,1,1,0,71,5,74,69
2,2,45,15,0,67,2,4,1,72,6,75,70
3,2,46,0,1,68,3,0,0,73,7,76,71
4,2,47,1,2,69,4,1,1,74,8,77,72
5,2,48,2,3,70,5,2,0,75,9,78,73
6,2,49,3,4,71,0,3,1,76,10,79,74
7,2,50,4,5,72,2,2,0,77,11,80,75
8,2,51,5,6,73,3,3,1,78,12,81,76
2,2,52,6,0,74,4,4,0,79,13,82,77
1,2,53,7,1,75,2,2,1,80,14,83,78
2,2,54,8,2,76,3,1,0,81,15,84,79
5,2,55,9,3,77,1,4,1,82,16,85,80
6,2,56,10,4,78,5,0,0,83,17,86,81
7,2,57,11,5,79,0,1,1,84,18,87,82
8,2,58,12,6,80,1,1,0,85,19,88,83
9,2,59,13,0,81,2,2,1,86,20,89,84
1,2,60,14,1,82,3,3,0,87,21,90,85
7,2,61,15,0,83,4,4,1,88,22,91,86
3,2,62,0,3,84,5,0,0,89,23,92,87
4,2,63,1,4,85,0,2,1,90,24,93,88
5,2,64,2,5,86,1,3,0,91,25,94,89
6,2,65,3,6,87,2,4,1,92,26,95,90
3,2,66,4,0,88,3,0,0,93,27,96,91
4,2,67,5,1,89,4,1,0,94,28,97,92
5,2,68,6,2,90,5,0,1,95,29,98,93
1,2,69,7,3,91,0,1,0,96,30,99,94
2,2,70,8,4,92,5,3,1,97,31,1,95
8,2,71,9,5,93,2,0,0,98,32,2,96
4,2,72,10,6,94,3,2,1,99,33,5,97
5,2,73,11,6,95,4,3,0,0,34,6,98
6,2,74,12,0,96,3,2,1,1,35,7,99
7,2,0,13,1,97,4,4,0,3,36,8,100
8,2,1,14,2,98,2,4,0,4,37,9,0
9,2,3,15,4,99,4,0,0,2,38,10,1
1,2,4,0,5,100,3,1,1,5,39,4,2
3,3,5,2,6,0,0,3,1,7,40,11,4
4,3,6,3,0,1,1,4,0,8,41,12,5
5,3,7,4,1,2,4,0,1,9,42,13,6
6,3,8,5,2,3,5,1,0,10,43,14,7
7,3,9,6,3,4,3,2,1,11,0,15,8
8,3,10,7,4,5,2,3,0,12,1,16,9
9,3,11,8,5,6,3,4,1,13,2,17,10
1,3,12,9,6,7,0,0,1,14,3,18,11
2,3,13,10,0,8,1,1,1,15,4,19,12
3,3,14,11,1,9,5,2,0,16,5,20,13
4,3,15,12,2,10,1,3,0,17,6,21,14
5,3,16,13,3,11,2,4,1,18,7,22,15
6,3,17,14,4,12,1,0,0,19,8,23,16
7,3,18,15,5,13,4,1,1,20,9,24,17
8,3,19,1,6,14,1,2,0,21,10,25,18
9,3,20,0,0,15,0,3,1,22,11,26,19
1,3,21,2,1,16,1,4,1,23,12,27,20
9,3,22,3,2,17,2,0,1,24,13,28,21
3,3,23,4,3,18,4,1,0,25,14,29,22
4,3,24,5,4,19,4,2,1,26,15,30,23
3,3,25,6,5,20,5,3,0,27,16,31,24
4,3,26,7,6,21,1,4,0,28,17,32,25
5,3,27,1,0,22,2,0,0,29,18,33,26
6,3,28,9,1,23,3,1,0,30,19,34,27
7,3,29,10,2,24,4,0,0,31,20,35,28
8,3,30,11,3,25,5,2,0,32,21,36,29
9,3,31,12,4,26,0,3,0,33,22,37,30
1,3,32,13,5,27,0,4,1,34,23,38,31
5,3,33,14,6,28,2,4,0,35,24,39,32
6,3,34,15,0,29,3,1,0,36,25,40,33
7,3,35,0,1,30,4,1,1,37,26,41,34
8,3,36,1,2,31,5,2,0,38,27,42,35
9,3,37,2,3,32,0,3,0,39,28,43,36
1,3,38,3,4,33,1,4,1,40,29,44,37
2,3,39,4,5,34,2,0,0,41,30,45,38
3,3,40,5,6,35,3,4,1,42,31,46,39
4,3,41,6,0,36,5,3,1,43,32,47,40
5,3,42,8,1,37,5,4,0,44,33,48,41
6,3,43,9,2,38,0,2,0,45,34,49,42
7,3,44,10,3,39,5,3,1,46,35,50,43
8,3,45,11,4,40,0,1,0,47,36,51,44
9,3,46,12,5,41,1,2,0,48,37,52,45
1,3,47,13,6,42,5,3,0,49,38,53,46
2,3,48,14,0,43,5,0,1,50,39,54,47
3,3,49,15,1,44,4,1,1,51,40,55,48
4,3,50,0,2,45,1,2,1,52,41,56,49
5,3,51,1,3,46,2,0,1,53,42,57,50
6,3,52,2,4,47,3,1,0,54,43,58,51
7,3,53,3,5,48,5,0,1,55,0,59,52
8,3,54,4,6,49,0,2,1,56,1,60,53
9,3,55,5,0,50,1,3,1,57,2,61,54
1,3,56,6,1,51,2,4,1,58,3,62,55
1,3,57,7,2,52,3,0,1,59,4,63,56
2,3,58,8,3,53,4,1,1,60,5,64,57
3,3,59,9,4,54,5,1,0,61,6,65,58
4,3,60,10,5,55,0,2,1,62,7,66,59
5,3,61,11,6,56,3,3,0,63,8,67,60
6,3,62,12,0,57,1,4,1,64,9,68,61
7,3,63,13,1,58,3,0,0,65,10,69,62
8,3,64,14,2,59,4,1,1,66,11,70,63
2,3,65,15,3,60,5,2,1,67,12,71,64
5,3,66,0,4,61,0,4,1,68,13,72,65
2,3,67,1,5,62,2,4,1,69,14,73,66
3,3,68,2,6,63,3,0,0,70,15,74,67
4,3,69,3,0,64,4,2,1,71,16,75,68
5,3,70,4,1,65,5,2,0,72,17,76,69
6,3,71,5,2,66,0,3,0,73,18,77,70
7,3,72,6,3,67,1,3,1,74,19,78,71
8,3,73,7,4,68,2,4,0,75,20,79,72
9,3,74,8,5,69,3,0,1,76,21,80,73
1,3,0,9,2,70,4,1,1,77,22,81,74
9,3,2,10,3,71,1,1,1,78,23,82,75
6,3,3,11,2,72,5,0,0,79,24,83,76
7,3,4,12,3,73,0,3,0,80,25,84,77
6,3,1,13,3,74,5,0,0,81,26,85,78
7,3,2,14,4,75,0,0,0,82,27,86,79
8,3,6,15,1,76,4,3,0,83,28,87,80
9,3,7,0,6,77,2,2,0,84,29,88,81
3,3,8,1,0,78,3,3,1,85,30,89,82
2,3,9,2,1,79,4,4,0,86,31,90,83
3,3,10,3,2,80,3,0,1,87,32,91,84
4,3,11,7,6,81,0,1,0,88,33,92,85
2,3,12,8,0,82,1,2,1,89,34,93,86
2,3,13,9,1,83,2,4,0,90,35,94,87
2,3,14,10,2,84,3,1,1,91,36,95,88
1,3,15,11,3,85,4,4,0,92,37,96,89
2,3,16,12,4,86,5,2,1,93,38,97,90
5,3,17,13,5,87,0,3,1,94,39,98,91
2,3,18,14,6,88,1,4,1,95,40,99,92
3,3,19,15,0,89,2,1,1,96,41,1,93
4,3,20,12,1,90,1,2,1,97,42,2,94
9,3,21,1,6,91,4,3,1,98,43,3,95
6,3,22,2,3,92,0,4,1,99,0,6,96
1,3,23,0,4,93,4,0,1,0,1,7,97
3,3,24,4,5,94,5,1,0,1,2,8,98
8,3,25,5,2,95,1,1,0,2,3,5,99
4,3,26,3,5,96,5,2,0,6,4,10,100
7,3,27,4,1,97,3,3,0,5,6,11,0
8,3,28,5,5,98,2,2,0,3,7,12,1
2,3,29,3,3,99,3,3,1,4,8,13,2
3,3,31,8,4,100,1,2,0,6,9,14,3
8,4,32,15,6,0,2,2,1,9,10,15,5
9,4,33,9,0,1,0,3,0,10,11,16,6
1,4,34,10,1,2,1,4,0,11,12,17,7
2,4,35,11,2,3,4,0,0,12,13,18,8
3,4,36,12,3,4,5,1,1,13,14,19,9
4,4,37,13,4,5,3,2,0,14,15,20,10
5,4,38,14,5,6,2,3,1,15,16,21,11
6,4,39,6,0,7,3,4,1,16,17,22,12
7,4,40,7,6,8,4,0,1,17,18,23,13
8,4,41,8,0,9,0,1,1,18,19,24,14
9,4,42,2,1,10,5,2,0,19,20,25,15
1,4,43,3,4,11,0,3,0,20,21,26,16
2,4,44,0,5,12,2,4,1,21,22,27,17
3,4,45,5,6,13,3,0,0,22,23,28,18
4,4,46,6,0,14,4,1,1,23,24,29,19
5,4,47,7,1,15,5,2,1,24,25,30,20
6,4,48,1,2,16,0,3,0,25,26,31,21
7,4,49,9,3,17,1,4,1,26,27,32,22
8,4,50,10,4,18,1,0,0,27,28,33,23
9,4,51,11,5,19,0,1,1,28,29,34,24
1,4,52,8,6,20,0,2,1,29,30,35,25
7,4,53,4,0,21,4,3,0,30,31,36,26
3,4,54,14,1,22,1,4,1,31,32,37,27
4,4,55,15,2,23,2,0,1,32,33,38,28
1,4,56,0,3,24,3,1,1,33,34,39,29
5,4,57,1,4,25,4,4,0,34,35,40,30
6,4,58,7,5,26,5,3,1,35,36,41,31
7,4,59,8,6,27,3,0,0,36,37,42,32
9,4,60,9,0,28,1,0,0,37,38,43,33
1,4,61,10,1,29,2,4,0,38,39,44,34
4,4,62,13,2,30,3,1,1,39,40,45,35
5,4,63,14,3,31,4,1,0,40,41,46,36
6,4,64,15,4,32,5,2,1,41,42,47,37
9,4,65,0,5,33,0,3,1,42,43,48,38
1,4,66,1,6,34,1,4,1,43,0,49,39
2,4,67,11,0,35,2,0,0,44,1,50,40
3,4,68,12,4,36,2,1,1,45,5,51,41
8,4,69,13,5,37,4,3,1,46,6,52,42
5,4,70,14,6,38,2,4,0,47,7,53,43
1,4,71,6,0,39,5,4,0,48,8,54,44
2,4,72,7,1,40,0,0,0,49,9,55,45
6,4,73,6,2,41,2,1,0,50,4,56,46
7,4,74,7,3,42,3,3,1,51,2,57,47
8,4,0,8,4,43,0,2,0,52,3,58,48
2,4,5,6,5,44,4,4,1,53,11,59,49
3,4,6,7,6,45,5,0,1,54,12,60,50
4,4,30,8,0,46,3,2,1,55,13,61,51
5,4,31,9,2,47,5,4,1,56,14,62,52
6,4,1,10,2,48,2,1,1,57,15,63,53
7,4,2,11,3,49,5,2,1,58,16,64,54
8,4,3,12,4,50,0,2,0,59,17,65,55
9,4,4,13,5,51,1,3,0,60,18,66,56
2,4,8,15,6,52,2,2,0,61,19,67,57
3,4,9,0,0,53,3,3,1,62,20,68,58
4,4,10,1,1,54,4,1,0,63,21,69,59
5,4,11,4,2,55,5,0,0,64,22,70,60
9,4,12,5,3,56,0,1,0,65,23,71,61
7,4,13,3,4,57,3,2,0,66,24,72,62
8,4,14,2,6,58,1,3,0,67,25,73,63
9,4,15,8,0,59,3,1,0,68,26,74,64
1,4,16,4,1,60,1,0,1,69,27,75,65
2,4,17,5,2,61,5,3,0,70,28,76,66
8,4,18,6,3,62,0,4,1,71,29,77,67
9,4,19,12,4,63,1,0,0,72,30,78,68
1,4,20,13,5,64,2,4,1,73,31,79,69
3,4,21,14,1,65,3,2,1,74,32,80,70
2,4,22,4,0,66,4,0,1,75,33,81,71
5,4,23,5,1,67,5,2,1,76,34,82,72
4,4,24,6,2,68,1,3,0,77,35,83,73
5,4,25,2,3,69,2,4,0,78,36,84,74
3,4,26,0,6,70,3,3,0,79,37,85,75
4,4,27,1,5,71,4,1,1,80,38,86,76
5,4,28,2,6,72,1,0,1,81,39,87,77
6,4,29,11,0,73,2,1,1,82,40,88,78
1,4,7,12,1,74,1,4,0,83,41,89,79
3,4,32,3,2,75,5,0,0,84,42,90,80
4,4,33,4,5,76,0,0,0,85,43,91,81
5,4,34,5,4,77,4,1,0,86,0,92,82
5,4,35,4,5,78,2,2,0,87,5,93,83
6,4,36,5,6,79,3,3,1,88,6,94,84
7,4,37,4,0,80,4,4,0,89,10,95,85
8,4,38,5,3,81,5,0,1,90,11,96,86
9,4,39,1,4,82,0,2,1,91,12,97,87
1,4,40,2,5,83,1,3,1,92,13,98,88
6,4,41,3,1,84,2,4,0,93,14,99,89
7,4,42,9,2,85,3,0,1,94,15,1,90
4,4,43,10,3,86,4,1,0,95,16,2,91
6,4,44,11,4,87,5,2,1,96,17,3,92
7,4,45,0,1,88,0,3,1,97,18,4,93
7,4,46,13,2,89,2,4,0,98,19,5,94
7,4,47,9,0,90,4,1,1,99,20,9,95
8,4,48,10,1,91,0,2,0,0,21,10,96
9,4,49,11,2,92,1,3,0,1,22,11,97
2,4,51,12,1,93,4,4,1,2,23,12,98
9,4,52,13,3,94,5,0,1,7,24,13,99
1,4,53,14,4,95,2,1,1,8,25,14,100
2,4,54,15,4,96,4,3,1,9,26,8,0
8,4,55,0,2,97,0,4,1,6,27,6,1
5,4,56,1,2,98,1,4,1,7,28,7,2
6,4,57,2,6,99,2,0,0,8,29,15,3
6,4,58,3,6,100,3,1,0,3,30,16,4
6,5,59,14,0,0,5,0,1,4,31,17,6
8,5,60,15,3,1,3,1,0,5,32,18,7
9,5,62,7,4,2,0,3,1,13,33,20,8
9,5,63,8,5,3,1,4,1,14,34,21,9
1,5,64,9,6,4,4,2,0,15,35,22,10
2,5,65,10,0,5,2,1,0,16,36,23,11
3,5,66,3,1,6,5,2,0,17,37,24,12
4,5,67,0,2,7,3,3,1,18,38,25,13
5,5,68,1,1,8,4,2,0,19,39,26,14
6,5,69,6,2,9,0,0,1,20,40,27,15
7,5,70,7,3,10,3,3,0,21,41,28,16
8,5,71,8,4,11,1,4,0,22,42,29,17
9,5,72,9,5,12,2,0,0,23,43,30,18
1,5,73,10,6,13,0,2,0,24,0,31,19
2,5,74,11,0,14,5,1,1,25,1,32,20
3,5,0,12,1,15,1,3,1,26,2,33,21
4,5,5,13,2,16,2,4,0,27,3,34,22
6,5,30,15,3,17,3,0,0,28,5,35,23
4,5,61,2,4,18,1,1,0,29,9,36,24
2,5,1,0,5,19,2,2,0,30,10,37,25
3,5,50,11,3,20,3,3,1,31,4,38,26
4,5,51,13,0,21,0,0,1,32,8,39,27
