# ACTS Test Suite Generation: Thu Jul 22 14:51:25 JST 2021
#  '*' represents don't care value 
# Degree of interaction coverage: 2
# Number of parameters: 13
# Maximum number of values per parameter: 94
# Number of configurations: 5551
age,workclass,fnlwgt,education,martial_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country
1,7,45,14,5,1,5,2,0,99,15,1,3
2,100,46,15,6,3,2,1,1,0,16,1,4
3,0,47,0,6,4,3,2,0,1,17,1,5
4,1,48,1,0,5,4,3,1,2,18,1,6
5,2,49,2,5,6,5,1,0,3,19,1,7
6,6,51,3,2,7,1,0,1,4,20,1,8
7,3,54,4,3,8,4,2,0,5,21,1,9
8,4,56,5,4,9,3,1,1,6,22,1,10
9,5,58,6,1,10,4,3,0,7,23,1,11
1,6,59,7,4,11,5,3,1,8,24,1,12
2,7,61,8,5,12,4,0,0,9,25,1,13
3,7,63,9,6,13,0,1,1,10,26,1,14
4,100,68,10,0,100,1,2,1,11,27,1,15
5,0,72,11,1,0,0,3,0,13,28,1,16
6,7,74,12,2,3,1,4,1,14,30,1,17
7,3,0,13,5,2,2,4,1,15,36,2,18
8,4,1,14,3,3,5,1,0,18,37,2,19
9,1,2,15,5,4,0,0,0,20,39,2,20
1,2,3,0,6,5,1,2,0,22,43,2,21
3,5,4,1,4,6,4,4,1,25,0,2,22
4,0,5,4,5,7,5,0,0,27,1,2,23
5,6,6,5,3,8,0,1,0,34,2,2,24
6,1,7,6,4,9,1,2,1,41,3,2,25
7,1,8,7,0,10,2,3,1,99,4,2,26
8,6,9,8,1,11,3,4,0,0,6,2,27
9,100,10,9,2,12,4,4,1,1,8,2,28
1,100,11,10,3,13,5,0,0,2,9,2,29
2,7,12,11,4,100,0,2,0,3,10,2,30
3,100,13,12,0,0,2,2,0,4,11,2,31
4,5,14,2,6,1,3,3,1,5,12,2,32
5,7,15,3,0,2,1,2,0,6,13,2,33
6,100,16,15,2,6,3,3,1,7,14,2,34
7,5,17,0,3,7,2,4,1,8,15,2,35
8,2,18,1,4,8,3,0,1,9,16,2,36
4,3,19,13,1,9,2,3,0,10,17,2,37
5,4,20,14,6,10,3,4,0,11,18,2,38
1,5,21,15,0,11,4,4,1,13,19,2,39
2,3,22,0,0,12,5,0,0,14,20,2,40
9,4,23,1,5,13,1,1,0,15,21,2,100
9,0,24,2,0,100,4,2,1,18,22,2,0
1,3,25,3,5,0,5,4,1,20,23,2,1
6,2,26,4,1,1,0,4,1,22,24,2,2
7,100,27,5,4,2,1,1,1,25,25,2,3
8,3,28,6,3,5,3,0,0,27,26,2,4
9,2,29,7,2,3,4,1,0,34,27,2,5
1,4,30,8,2,4,5,2,1,41,28,2,6
2,4,31,9,4,5,0,0,0,99,30,2,7
3,4,32,10,0,6,0,1,0,0,36,2,8
4,6,33,11,6,7,0,0,1,1,37,2,9
5,0,34,12,1,8,1,3,0,2,39,2,10
8,1,35,13,2,12,3,4,1,3,43,2,11
7,0,36,14,1,13,4,0,0,4,0,2,12
8,2,37,15,2,100,2,1,1,5,1,2,13
2,5,38,0,2,0,5,0,1,6,2,2,14
1,6,39,1,5,4,2,1,0,7,3,2,15
2,7,40,2,6,9,3,2,0,8,4,2,16
3,100,42,3,6,10,4,1,1,9,6,2,17
6,0,43,4,3,11,5,3,1,10,8,2,18
7,1,44,5,6,1,2,4,1,11,9,2,19
4,2,45,6,6,2,3,0,1,13,10,2,20
8,4,46,7,5,4,0,4,0,14,11,2,21
5,1,47,8,1,3,0,2,1,15,12,2,22
1,6,48,9,3,6,1,3,0,18,13,2,23
3,7,49,10,4,7,2,3,1,20,14,2,24
4,100,51,11,0,8,3,1,0,22,15,2,25
9,7,54,12,3,9,4,2,1,25,16,2,26
2,1,56,14,4,2,1,3,0,27,17,2,27
6,7,58,13,5,11,5,0,1,34,18,2,28
7,3,59,14,6,12,1,4,0,41,19,2,29
3,0,61,15,3,13,1,2,1,99,20,2,30
5,1,63,0,4,100,5,3,0,0,21,2,31
7,3,68,3,5,6,2,0,0,1,22,2,32
2,5,72,4,6,3,3,1,1,2,23,2,33
3,6,74,5,0,10,4,2,0,3,24,2,34
4,2,0,6,2,11,0,3,0,4,25,3,35
5,1,1,7,1,0,1,4,1,5,26,3,36
6,0,2,8,3,1,2,1,1,6,27,3,37
7,5,3,9,0,2,4,2,1,7,28,3,38
8,6,4,10,5,4,3,3,0,8,30,3,39
9,7,5,11,4,5,1,3,1,9,36,3,40
1,2,6,12,2,6,3,2,1,10,37,3,100
2,3,7,13,3,7,0,0,0,11,39,3,0
3,4,8,2,4,8,5,1,0,13,43,3,1
9,100,9,3,5,9,2,1,1,14,0,3,2
6,5,10,0,6,10,4,0,0,15,1,3,3
6,2,11,1,2,12,1,4,1,18,2,3,4
7,4,12,14,1,8,0,4,1,20,3,3,5
8,3,13,15,4,13,5,0,1,22,4,3,6
1,0,14,4,2,100,2,2,1,25,6,3,7
2,0,15,5,5,3,3,2,0,27,8,3,8
3,4,16,6,0,0,2,3,1,34,9,3,9
3,5,17,7,0,1,5,4,0,41,10,3,10
4,6,18,8,6,2,4,0,0,99,11,3,11
6,7,19,9,3,4,5,1,1,0,12,3,12
7,100,20,10,1,5,0,4,1,1,13,3,13
8,1,21,11,1,9,1,3,0,2,14,3,14
9,3,22,12,2,5,0,1,0,3,15,3,15
1,1,23,13,3,10,5,2,0,4,16,3,16
1,6,24,6,4,12,0,3,1,5,17,3,17
4,2,25,7,1,13,3,2,1,6,18,3,18
3,3,26,8,4,100,3,0,0,7,19,3,19
5,4,27,1,6,0,4,1,1,8,20,3,20
6,6,28,2,1,7,2,4,1,9,21,3,21
6,4,29,11,5,1,1,3,1,10,22,3,22
8,2,30,12,1,2,2,4,0,11,23,3,23
7,100,31,13,2,3,1,0,1,13,24,3,24
9,5,32,14,3,5,2,3,0,14,25,3,25
4,0,33,15,5,12,3,4,1,15,26,3,26
4,7,34,0,6,13,5,0,0,18,27,3,27
7,3,35,1,3,100,0,1,0,20,28,3,28
8,5,36,2,0,0,4,2,0,22,30,3,29
5,1,37,3,1,11,4,3,0,25,36,3,30
9,2,38,9,1,8,4,4,0,27,37,3,31
2,5,39,10,4,9,4,2,0,34,39,3,32
9,0,40,11,5,10,4,3,1,41,43,3,33
5,7,42,4,3,12,5,0,0,99,0,3,34
1,3,43,5,0,13,1,2,0,0,1,3,35
3,4,44,6,0,3,3,3,1,1,2,3,36
5,4,45,7,4,100,4,0,0,2,3,3,37
6,5,46,8,2,0,1,1,1,3,4,3,38
9,3,47,9,3,1,2,0,1,4,6,3,39
1,0,48,10,1,2,0,1,0,5,8,3,40
2,100,49,14,2,4,0,4,0,6,9,3,100
5,6,51,0,5,9,5,1,1,7,10,3,0
2,2,54,5,2,11,1,3,0,8,11,3,1
7,3,56,12,0,11,5,2,0,9,12,3,2
9,1,58,15,0,7,2,4,0,10,13,3,3
1,5,59,2,5,13,0,0,1,11,14,3,4
8,6,61,3,4,100,2,3,1,13,15,3,5
4,0,63,4,5,0,3,4,1,14,16,3,6
9,100,68,5,3,1,4,4,1,15,17,3,7
4,3,72,6,4,4,2,4,0,18,18,3,8
5,2,74,13,1,5,3,1,1,20,19,3,9
8,7,0,14,5,6,3,2,0,22,20,4,10
2,100,1,15,6,5,0,0,1,25,21,4,11
5,7,2,1,2,10,1,4,1,27,22,4,12
6,1,3,2,3,7,5,1,1,34,23,4,13
1,2,4,3,1,8,2,2,1,41,24,4,14
3,4,5,13,0,3,4,4,1,99,25,4,15
9,5,6,4,4,2,2,0,1,0,26,4,16
7,5,7,5,4,0,3,3,0,1,27,4,17
2,6,8,0,6,6,1,1,1,2,28,4,18
4,0,9,7,1,13,5,2,0,3,30,4,19
8,7,10,8,3,9,3,3,1,4,36,4,20
3,100,11,9,0,11,4,1,1,5,37,4,21
1,3,12,10,2,12,2,0,1,6,39,4,22
2,1,13,11,3,3,0,1,1,7,43,4,23
6,1,14,12,6,4,1,2,0,8,0,4,24
3,6,15,13,1,6,5,3,1,9,1,4,25
5,6,16,14,1,100,0,1,0,10,2,4,26
6,7,17,15,2,8,4,2,0,11,3,4,27
9,0,18,0,3,1,1,3,1,13,4,4,28
7,4,19,1,4,7,0,0,0,14,6,4,29
8,2,20,2,0,4,1,1,1,15,8,4,30
2,4,21,3,5,5,3,2,1,18,9,4,31
8,100,22,4,3,13,1,4,1,20,10,4,32
3,6,23,6,4,100,2,0,0,22,11,4,33
4,2,24,7,5,2,1,1,0,25,12,4,34
6,100,25,8,6,9,4,1,0,27,13,4,35
7,0,26,9,6,10,5,2,0,34,14,4,36
8,1,27,10,0,3,0,0,0,41,15,4,37
9,2,28,11,2,6,5,3,0,99,16,4,38
5,2,29,12,2,7,0,2,1,0,17,4,39
6,5,30,2,3,8,3,4,0,1,18,4,40
4,7,31,3,6,1,2,0,1,2,19,4,100
1,100,32,4,1,10,3,3,0,3,20,4,0
2,0,33,7,0,6,4,2,1,4,21,4,1
1,4,34,8,6,7,0,4,0,5,22,4,2
3,6,35,9,0,11,1,0,1,6,23,4,3
4,1,36,10,4,1,5,3,1,7,24,4,4
1,3,37,11,0,2,3,4,1,8,25,4,5
5,6,38,14,3,3,2,2,1,9,26,4,6
3,5,39,6,1,12,3,3,1,10,27,4,7
8,1,40,7,4,5,2,4,1,11,28,4,8
9,3,42,1,5,9,1,2,1,13,30,4,9
4,6,43,15,2,10,0,0,1,14,36,4,10
6,7,44,3,4,13,1,2,0,15,37,4,11
8,1,45,5,0,8,2,1,0,18,39,4,12
4,6,46,12,0,11,3,2,0,20,43,4,13
7,4,47,13,4,7,4,3,0,22,0,4,14
5,4,48,14,4,8,3,4,0,25,1,4,15
7,3,49,15,5,11,4,0,1,27,2,4,16
2,2,51,8,6,13,2,3,0,34,3,4,17
3,100,54,1,5,100,0,1,0,41,4,4,18
5,2,56,0,2,0,4,4,0,99,6,4,19
7,3,58,11,4,1,2,2,1,0,8,4,20
5,5,59,12,1,2,3,1,0,1,9,4,21
7,0,61,13,6,4,5,4,1,2,10,4,22
7,5,63,1,2,1,2,0,1,3,11,4,23
1,0,68,0,5,5,3,1,1,4,12,4,24
2,7,72,1,2,3,4,0,1,5,13,4,25
2,3,74,4,5,8,5,3,0,6,14,4,26
3,4,0,5,0,12,4,0,0,7,15,5,27
4,5,1,6,1,13,0,3,1,8,16,5,28
6,6,2,7,6,6,5,1,0,9,17,5,29
9,100,3,8,2,3,2,0,1,10,18,5,30
8,7,4,4,3,9,1,1,0,11,19,5,31
1,2,5,9,1,4,3,4,1,13,20,5,32
3,1,6,10,5,0,5,2,1,14,21,5,33
1,0,7,12,6,11,5,4,0,15,22,5,34
5,7,8,13,4,1,0,0,1,18,23,5,35
2,3,9,2,6,12,0,3,0,20,24,5,36
7,6,10,3,1,10,1,2,1,22,25,5,37
8,6,11,0,1,7,2,3,1,25,26,5,38
3,1,12,2,3,5,5,1,0,27,27,5,39
4,100,13,14,5,9,4,3,1,34,28,5,40
5,4,14,15,0,2,4,4,1,41,30,5,100
6,5,15,1,6,8,5,0,1,99,36,5,0
4,7,16,6,5,10,2,4,0,0,37,5,1
8,7,17,11,6,100,3,3,1,1,39,5,2
6,100,18,6,1,0,2,1,0,2,43,5,3
9,0,19,9,0,100,3,2,0,3,0,5,4
9,1,20,10,3,12,0,2,0,4,1,5,5
9,7,21,13,6,10,1,0,1,5,2,5,6
3,5,22,11,4,10,5,3,0,6,3,5,7
4,0,23,12,6,11,4,4,1,7,4,5,8
3,1,24,14,2,6,5,0,1,8,6,5,9
5,1,25,15,3,100,2,3,1,9,8,5,10
8,2,26,0,5,8,4,3,0,10,9,5,11
9,3,27,2,2,6,5,4,1,11,10,5,12
1,7,28,14,4,10,0,1,1,13,11,5,13
8,100,29,6,3,6,3,0,0,14,12,5,14
2,0,30,7,5,12,1,3,0,15,13,5,15
5,2,31,8,0,4,1,4,0,18,14,5,16
6,3,32,9,1,9,4,0,0,20,15,5,17
5,4,33,5,2,4,1,1,1,22,16,5,18
6,5,34,9,5,10,1,2,0,25,17,5,19
1,0,35,10,0,6,5,3,1,27,18,5,20
2,3,36,11,3,4,0,3,1,34,19,5,21
4,5,37,12,4,5,3,2,1,41,20,5,22
8,7,38,5,0,9,3,3,1,99,21,5,23
4,100,39,14,3,0,0,4,1,0,22,5,24
7,4,40,15,2,13,0,1,1,1,23,5,25
8,5,42,8,4,5,0,3,0,2,24,5,26
5,100,43,10,5,7,2,1,0,3,25,5,27
1,2,44,2,6,8,4,0,0,4,26,5,28
2,6,45,3,1,9,1,4,1,5,27,5,29
6,2,46,4,3,7,3,0,0,6,28,5,30
7,6,47,5,2,11,5,1,0,7,30,5,31
9,0,48,7,2,3,5,2,0,8,36,5,32
4,5,49,5,1,1,0,2,0,9,37,5,33
7,4,51,1,4,2,0,4,0,10,39,5,34
8,6,54,9,1,3,5,0,0,11,43,5,35
6,6,56,10,2,5,2,1,1,13,0,5,36
1,100,58,9,6,0,3,1,0,14,1,5,37
4,1,59,4,0,1,4,2,1,15,2,5,38
6,100,61,0,1,2,0,1,0,18,3,5,39
8,6,63,6,3,3,1,2,1,20,4,5,40
2,1,68,7,4,9,1,3,1,22,6,5,100
3,1,72,8,0,13,1,2,1,25,8,5,0
9,6,74,13,3,12,0,0,1,27,9,5,1
1,0,0,15,4,12,4,0,0,34,10,6,2
2,4,1,4,5,7,3,4,1,41,11,6,3
3,6,2,3,1,11,2,2,0,99,12,6,4
4,7,3,13,6,0,1,3,0,0,13,6,5
7,3,4,7,0,2,0,1,0,1,14,6,6
6,1,5,1,2,11,2,2,1,2,15,6,7
7,2,6,0,3,1,5,4,1,3,16,6,8
8,4,7,2,0,100,4,1,1,4,17,6,9
9,100,8,11,5,4,4,2,0,5,18,6,10
5,4,9,12,2,3,2,0,0,6,19,6,11
2,5,10,13,6,8,2,0,0,7,20,6,12
9,0,11,6,6,10,3,1,0,8,21,6,13
9,2,12,10,5,4,4,2,1,9,22,6,14
1,5,13,5,6,5,5,2,1,10,23,6,15
3,4,14,14,3,6,5,1,0,11,24,6,16
4,1,15,15,4,13,0,4,1,13,25,6,17
2,5,16,8,0,1,4,0,0,14,26,6,18
5,100,17,11,1,6,1,1,1,15,27,6,19
3,7,18,12,2,10,5,4,1,18,28,6,20
7,1,19,3,6,12,4,1,1,20,30,6,21
1,2,20,9,5,100,5,3,0,22,36,6,22
3,3,21,0,4,0,2,3,1,25,37,6,23
6,4,22,2,1,11,3,4,1,27,39,6,24
5,7,23,3,2,2,3,4,1,34,43,6,25
6,100,24,5,3,3,2,0,0,41,0,6,26
7,0,25,12,0,4,0,2,1,99,1,6,27
5,4,26,3,0,9,1,3,0,0,2,6,28
1,0,27,4,5,11,2,3,0,1,3,6,29
7,5,28,10,6,12,1,2,0,2,4,6,30
1,0,29,13,0,2,2,0,0,3,6,6,31
3,7,30,1,4,7,4,1,1,4,8,6,32
6,3,31,14,5,6,3,2,0,5,9,6,33
9,1,32,1,1,7,5,2,0,6,10,6,34
9,1,33,2,3,8,5,2,0,7,11,6,35
9,100,34,13,4,100,4,3,1,8,12,6,36
9,2,35,4,5,13,2,0,0,9,13,6,37
1,3,36,3,5,5,3,1,0,10,14,6,38
2,7,37,6,6,0,1,3,1,11,15,6,39
3,3,38,7,6,7,0,4,1,13,16,6,40
8,0,39,11,3,8,1,0,1,14,17,6,100
4,2,40,9,4,0,1,0,1,15,18,6,0
6,6,42,10,1,7,3,4,0,18,19,6,1
2,5,43,7,1,2,4,4,0,20,20,6,2
4,2,44,8,2,12,0,4,0,22,21,6,3
7,5,45,13,2,13,0,3,0,25,22,6,4
5,100,46,0,4,100,5,3,1,27,23,6,5
2,7,47,1,0,9,1,4,0,34,24,6,6
8,3,48,0,6,4,2,0,0,41,25,6,7
1,4,49,11,2,100,3,0,0,99,26,6,8
1,7,51,15,3,4,4,2,1,0,27,6,9
6,0,54,13,6,12,3,4,0,1,28,6,10
3,100,56,14,3,7,0,0,0,2,30,6,11
3,2,58,4,2,9,1,4,1,3,36,6,12
2,4,59,5,3,3,2,0,0,4,37,6,13
4,3,61,7,0,5,3,2,0,5,39,6,14
6,2,63,8,1,6,4,0,0,6,43,6,15
8,6,68,6,2,8,5,3,1,7,0,6,16
8,4,72,3,5,5,5,2,0,8,1,6,17
1,100,74,6,4,0,2,1,0,9,2,6,18
9,6,0,12,6,5,5,4,0,10,3,7,19
6,7,1,0,0,11,4,0,1,11,4,7,20
2,0,2,10,4,13,0,1,1,13,6,7,21
8,3,3,14,5,10,3,3,1,14,8,7,22
5,4,4,15,2,100,1,2,1,15,9,7,23
2,5,5,3,3,1,2,3,1,18,10,7,24
4,100,6,11,1,3,4,3,0,20,11,7,25
3,2,7,1,2,2,2,0,0,22,12,7,26
7,3,8,6,1,1,0,4,1,25,13,7,27
1,1,9,5,0,0,1,4,0,27,14,7,28
5,2,10,2,5,4,0,3,0,34,15,7,29
7,3,11,9,4,6,4,1,1,41,16,7,30
4,5,12,8,6,3,3,4,1,99,17,7,31
5,6,13,4,0,12,0,4,1,0,18,7,32
8,100,14,7,5,8,0,3,1,1,19,7,33
9,3,15,8,3,9,2,2,1,2,20,7,34
1,0,16,12,4,4,1,4,0,3,21,7,35
2,1,17,15,5,2,2,0,0,4,22,7,36
7,4,18,11,5,7,1,2,0,5,23,7,37
2,0,19,15,2,13,4,2,1,6,24,7,38
3,5,20,4,4,9,5,4,1,7,25,7,39
6,2,21,5,3,100,5,2,0,8,26,7,40
7,6,22,13,5,7,2,3,1,9,27,7,100
8,7,23,15,1,1,0,2,0,10,28,7,0
5,7,24,8,6,4,3,0,0,11,30,7,1
4,1,25,5,2,10,1,3,1,13,36,7,2
5,0,26,2,2,2,5,1,1,14,37,7,3
3,7,27,0,1,10,1,4,1,15,39,7,4
2,100,28,4,0,11,4,3,0,18,43,7,5
3,5,29,2,1,11,1,2,0,20,0,7,6
4,6,30,10,6,3,5,1,0,22,1,7,7
9,5,31,11,3,13,4,1,1,25,2,7,8
8,6,32,12,4,1,1,3,0,27,3,7,9
7,3,33,9,1,2,0,3,0,34,4,7,10
7,0,34,2,0,4,2,3,0,41,6,7,11
4,4,35,3,6,5,3,0,1,99,8,7,12
3,100,36,1,6,9,1,2,0,0,9,7,13
6,4,37,14,5,10,5,0,0,1,10,7,14
1,1,38,15,3,13,1,0,1,2,11,7,15
6,2,39,5,0,7,5,1,1,3,12,7,16
5,4,40,14,0,8,3,0,1,4,13,7,17
9,7,42,0,0,3,1,0,0,5,14,7,18
9,7,43,2,4,6,3,0,1,6,15,7,19
2,100,44,3,1,5,5,2,0,7,16,7,20
9,0,45,4,3,12,5,1,1,8,17,7,21
7,7,46,5,1,2,4,4,1,9,18,7,22
8,100,47,6,5,0,1,3,1,10,19,7,23
7,2,48,11,5,12,4,1,0,11,20,7,24
1,0,49,8,6,0,1,0,0,13,21,7,25
3,1,51,9,1,1,0,3,0,14,22,7,26
4,5,54,10,4,5,2,1,1,15,23,7,27
9,5,56,11,6,4,2,2,0,18,24,7,28
4,6,58,12,2,6,3,4,0,20,25,7,29
6,100,59,1,2,10,4,2,1,22,26,7,30
5,4,61,14,2,11,3,3,0,25,27,7,31
1,1,63,5,0,8,3,0,1,27,28,7,32
5,2,68,13,1,11,0,0,1,34,30,7,33
6,100,72,0,3,1,4,4,1,41,36,7,34
7,4,74,10,5,100,1,2,0,99,37,7,35
4,5,0,3,3,13,3,4,0,0,39,8,36
7,3,1,1,4,4,4,0,1,1,43,8,37
1,2,2,5,0,8,0,1,1,2,0,8,38
2,6,3,7,1,9,1,3,0,3,1,8,39
9,1,4,12,6,0,2,2,0,4,2,8,40
8,100,5,2,2,10,5,1,0,5,3,8,100
6,0,6,14,5,5,2,0,0,6,4,8,0
5,7,7,15,5,3,0,3,0,7,6,8,1
8,5,8,9,3,7,5,1,1,8,8,8,2
3,7,9,11,4,100,0,3,1,9,9,8,3
4,4,10,7,0,6,1,1,0,10,10,8,4
5,1,11,8,3,1,5,3,1,11,11,8,5
6,100,12,0,0,12,4,0,0,13,12,8,6
7,0,13,13,2,2,3,2,0,14,13,8,7
2,3,14,6,4,9,1,2,0,15,14,8,8
1,2,15,7,1,11,5,4,0,18,15,8,9
8,3,16,10,6,11,0,4,0,20,16,8,10
9,6,17,1,4,13,0,1,1,22,17,8,11
2,1,18,15,1,100,5,1,0,25,18,8,12
5,3,19,0,5,0,3,1,0,27,19,8,13
6,0,20,4,2,1,4,1,1,34,20,8,14
8,6,21,9,2,2,0,3,0,41,21,8,15
4,7,22,6,6,3,4,1,1,99,22,8,16
2,3,23,7,5,4,5,0,1,0,23,8,17
7,4,24,12,1,8,2,3,0,1,24,8,18
3,5,25,1,4,12,4,1,0,2,25,8,19
9,6,26,13,2,6,1,1,1,3,26,8,20
4,2,27,14,3,8,1,4,1,4,27,8,21
5,4,28,3,3,13,4,2,1,5,28,8,22
9,1,29,4,4,10,1,2,1,6,30,8,23
9,3,30,6,1,13,3,2,1,7,36,8,24
1,6,31,7,2,12,5,0,0,8,37,8,25
2,7,32,6,6,0,4,0,1,9,39,8,26
3,2,33,10,3,9,1,0,0,10,43,8,27
8,3,34,15,2,3,0,1,1,11,0,8,28
6,7,35,8,4,2,3,2,1,13,1,8,29
1,4,36,7,5,6,2,4,0,14,2,8,30
6,0,37,10,5,7,3,3,0,15,3,8,31
7,100,38,11,5,100,1,0,0,18,4,8,32
1,4,39,12,6,5,3,1,1,20,6,8,33
3,5,40,13,3,8,2,0,0,22,8,8,34
2,1,42,2,4,11,2,0,1,25,9,8,35
3,2,43,8,4,0,0,2,0,27,10,8,36
5,5,44,0,5,6,5,4,1,34,11,8,37
6,7,45,1,4,11,5,0,0,41,12,8,38
7,3,46,2,0,12,1,0,1,99,13,8,39
4,5,47,3,1,100,2,1,0,0,14,8,40
3,5,48,4,2,10,0,1,1,1,15,8,100
8,6,49,12,0,12,2,0,0,2,16,8,0
9,0,51,14,2,5,3,3,1,3,17,8,1
5,1,54,0,0,7,2,4,0,4,18,8,2
8,0,56,9,1,13,3,0,1,5,19,8,3
2,4,58,5,3,100,0,4,1,6,20,8,4
3,2,59,9,1,9,4,3,1,7,21,8,5
1,2,61,10,4,8,5,1,0,8,22,8,6
2,100,63,14,6,9,3,4,1,9,23,8,7
5,7,68,9,6,0,5,0,0,10,24,8,8
6,6,72,2,5,2,4,1,1,11,25,8,9
4,1,74,3,6,4,2,3,1,13,26,8,10
1,100,0,4,1,100,1,4,0,14,27,9,11
9,0,1,6,2,1,3,0,1,15,28,9,12
7,4,2,11,3,6,4,1,1,18,30,9,13
3,6,3,5,0,12,0,3,0,20,36,9,14
4,1,4,8,4,7,2,2,0,22,37,9,15
5,3,5,12,6,13,5,4,0,25,39,9,16
2,5,6,13,5,11,3,4,0,27,43,9,17
8,6,7,14,3,10,0,3,1,34,0,9,18
6,2,8,15,4,2,0,2,0,41,1,9,19
7,5,9,9,2,4,5,0,0,99,2,9,20
1,7,10,1,5,0,1,0,1,0,3,9,21
2,6,11,2,0,8,5,0,1,1,4,9,22
4,0,12,3,1,5,2,3,0,2,6,9,23
8,2,13,7,1,6,1,0,0,3,8,9,24
9,2,14,10,6,3,5,1,0,4,9,9,25
1,4,15,11,4,5,2,0,0,5,10,9,26
7,1,16,13,6,3,3,4,0,6,11,9,27
3,3,17,4,4,9,2,4,1,7,12,9,28
5,3,18,0,4,10,4,1,1,8,13,9,29
8,100,19,6,2,1,4,2,1,9,14,9,30
2,0,20,8,5,2,0,1,1,10,15,9,31
4,0,21,8,0,3,4,1,0,11,16,9,32
5,1,22,15,2,9,2,1,0,13,17,9,33
6,100,23,2,0,0,1,3,0,14,18,9,34
3,1,24,1,1,5,3,1,1,15,19,9,35
8,7,25,4,6,1,0,3,0,18,20,9,36
4,100,26,14,0,11,2,3,0,20,21,9,37
6,5,27,12,3,12,3,3,1,22,22,9,38
4,0,28,1,3,8,3,3,1,25,23,9,39
7,3,29,15,4,13,2,2,1,27,24,9,40
7,100,30,9,5,100,5,0,1,34,25,9,100
8,1,31,10,2,11,2,2,0,41,26,9,0
5,2,32,11,2,2,3,3,0,99,27,9,1
1,7,33,6,6,3,3,1,1,0,28,9,2
2,6,34,7,3,1,5,3,1,1,30,9,3
5,5,35,14,2,0,4,3,0,2,36,9,4
9,6,36,15,4,7,1,1,0,3,37,9,5
9,6,37,9,5,1,3,0,0,4,39,9,6
6,4,38,12,0,13,3,1,1,5,43,9,7
9,7,39,13,6,10,4,4,0,6,0,9,8
1,100,40,0,0,3,0,1,0,7,1,9,9
1,0,42,6,6,7,2,3,0,8,2,9,10
7,4,43,9,4,9,5,2,1,9,3,9,11
8,3,44,10,0,7,0,2,1,10,4,9,12
3,3,45,11,5,4,3,4,0,11,6,9,13
9,1,46,12,3,6,0,1,1,13,8,9,14
6,2,47,4,3,10,3,1,0,14,9,9,15
2,7,48,5,4,100,3,3,0,15,10,9,16
6,1,49,3,3,5,3,2,1,18,11,9,17
8,5,51,10,2,12,3,4,1,20,12,9,18
1,4,54,6,4,4,3,0,0,22,13,9,19
4,7,56,7,5,8,2,2,0,25,14,9,20
5,0,58,8,1,3,3,1,0,27,15,9,21
9,7,59,0,3,0,2,4,1,34,16,9,22
