# ACTS Test Suite Generation: Thu Jul 22 15:09:53 JST 2021
#  '*' represents don't care value 
# Degree of interaction coverage: 1
# Number of parameters: 16
# Maximum number of values per parameter: 200
# Number of configurations: 200
a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p
5,5,0,1,0,150,0,0,0,29,10,1,31,1,0,1
5,11,1,3,1,151,0,1,0,21,8,69,34,1,1,1
4,0,2,3,1,152,1,0,2,12,4,15,29,1,0,3
6,11,2,1,1,153,0,0,2,26,7,81,37,1,1,1
1,7,1,1,0,154,1,1,2,21,6,76,63,0,1,2
3,2,2,3,1,155,1,1,2,1,8,70,21,1,1,1
3,2,0,0,1,156,0,0,0,22,1,16,27,1,1,3
7,1,1,3,1,157,0,0,0,31,8,37,34,0,1,3
6,4,2,1,1,158,0,0,2,6,11,9,37,0,0,0
3,6,1,0,0,159,0,1,0,8,2,88,33,0,0,3
2,3,2,1,0,160,0,0,2,13,7,28,33,0,1,0
2,8,0,3,1,161,1,0,1,14,7,19,50,1,0,0
7,11,1,1,0,162,1,0,2,14,6,68,35,1,0,2
8,0,2,2,0,163,1,0,2,25,1,79,10,0,1,2
6,9,2,0,1,164,1,1,1,8,6,78,35,0,1,0
7,11,2,2,1,165,0,0,1,2,11,18,55,1,1,0
5,7,0,0,0,166,0,0,2,27,10,76,4,0,0,3
1,10,2,1,0,167,0,0,1,4,9,13,2,0,1,2
6,1,1,2,1,168,0,0,1,22,9,50,19,0,1,1
5,4,2,3,1,169,0,1,0,6,10,22,5,1,0,2
5,5,2,1,1,170,1,0,0,11,3,30,21,0,1,1
2,5,1,3,1,171,0,0,2,24,4,24,10,0,0,2
6,4,0,3,0,172,0,1,0,1,4,40,43,0,0,1
5,1,0,0,0,173,0,0,1,23,3,8,63,0,1,2
3,1,2,1,1,174,1,1,2,12,8,94,37,1,1,3
8,2,2,2,0,175,0,1,2,22,4,33,50,1,1,1
8,0,2,2,0,176,1,0,2,31,11,94,26,0,1,0
2,4,2,3,0,177,1,1,1,17,5,45,10,0,1,3
7,6,0,3,1,178,1,1,2,11,2,55,51,0,0,3
7,8,0,2,1,179,0,1,1,4,5,22,50,0,0,1
5,6,1,3,0,-1,0,0,1,24,5,75,11,0,0,1
4,5,0,1,0,-20,0,1,1,11,0,25,27,1,1,0
4,1,0,2,1,-19,0,1,2,23,4,67,8,1,0,0
5,2,2,3,1,-18,0,1,0,29,9,39,22,0,0,1
1,5,1,1,1,-17,1,0,2,1,4,15,26,1,1,2
2,10,0,0,0,-16,1,1,2,15,6,95,6,1,0,2
3,6,0,3,1,-15,0,1,2,6,5,21,41,0,1,0
8,9,2,0,1,-14,0,1,0,3,10,39,27,0,0,2
5,0,1,3,0,-13,0,1,1,6,9,77,17,1,1,2
7,6,0,1,1,-12,1,0,2,17,10,98,36,0,1,3
2,2,2,2,0,-11,1,1,1,28,6,94,26,1,0,2
7,5,1,3,0,-10,1,0,1,21,4,57,14,1,0,0
3,5,0,2,0,-9,0,1,2,29,11,29,63,1,0,2
4,8,0,3,0,-8,0,1,2,22,10,47,38,1,1,0
2,0,0,0,0,-7,1,0,0,20,6,71,63,0,0,2
5,4,0,2,1,-6,0,1,1,19,5,32,19,0,0,2
9,6,0,3,0,-5,0,0,0,18,8,75,29,1,1,0
9,8,0,0,0,-4,0,0,1,26,6,21,63,0,0,1
1,10,2,0,0,-3,1,0,1,7,5,64,19,0,1,0
7,3,0,0,1,-2,1,0,1,23,10,92,30,0,1,3
