# ACTS Test Suite Generation: Thu Jul 22 15:09:57 JST 2021
#  '*' represents don't care value 
# Degree of interaction coverage: 2
# Number of parameters: 16
# Maximum number of values per parameter: 200
# Number of configurations: 20015
a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p
7,5,1,0,0,0,1,0,1,11,8,40,44,1,1,2
8,6,2,1,1,0,0,1,2,12,9,41,46,0,0,3
9,7,1,2,0,0,0,0,0,13,10,42,50,0,1,0
1,8,2,1,0,0,1,0,2,14,11,43,51,1,0,0
2,9,0,3,0,0,0,0,0,15,0,44,55,1,1,2
3,10,1,0,0,0,1,1,1,16,1,45,58,1,0,3
4,11,2,1,0,0,1,0,2,17,2,46,63,1,1,0
5,0,0,2,0,0,0,1,0,18,3,47,1,1,0,1
8,2,2,3,0,0,1,0,2,19,6,48,2,0,1,3
9,3,0,0,1,0,0,1,0,20,7,49,3,0,1,1
1,4,2,1,0,0,1,0,2,21,8,50,4,1,0,2
2,5,2,2,1,0,0,1,1,22,9,51,5,0,1,2
3,6,1,3,1,0,1,1,1,23,10,52,6,0,0,3
4,7,2,0,1,0,1,0,0,24,11,53,7,1,1,2
5,8,1,2,1,0,0,1,0,25,0,54,8,1,0,3
6,9,1,2,1,0,0,0,0,26,1,55,9,0,1,0
7,10,1,3,1,0,0,1,1,27,2,56,10,0,0,1
7,11,2,0,1,0,1,0,2,28,3,57,11,1,1,3
8,0,0,1,0,0,0,1,1,29,4,58,12,0,0,3
9,1,0,3,1,0,1,0,2,30,5,59,13,0,1,0
2,2,1,0,0,0,0,1,2,31,7,60,14,1,0,1
3,3,2,3,1,0,1,0,2,1,8,61,15,1,1,2
4,4,0,2,0,0,0,1,2,2,9,62,16,1,0,3
1,5,1,1,0,0,1,0,0,3,10,63,17,1,1,0
6,6,2,2,0,0,0,1,1,4,11,64,18,1,0,1
7,7,0,3,0,0,1,0,0,5,0,65,19,1,1,0
8,8,0,0,1,0,0,1,0,6,1,66,20,0,1,0
9,9,2,1,0,0,0,0,0,7,2,67,21,0,0,1
1,10,0,2,1,0,1,1,0,8,3,68,22,0,1,2
2,11,1,3,1,0,1,1,1,9,4,69,23,0,0,3
3,0,1,0,1,0,1,0,0,10,5,70,24,1,1,2
6,1,2,1,1,0,1,1,1,11,6,71,25,1,0,1
5,2,0,2,1,0,0,1,1,12,8,72,26,0,1,0
6,3,1,3,1,0,0,0,2,13,9,73,27,0,0,1
7,4,0,0,1,0,0,1,1,14,10,74,28,0,1,2
8,5,1,1,0,0,1,0,2,15,11,75,29,1,0,1
9,6,0,2,1,0,1,0,2,16,0,76,30,0,1,2
1,7,1,3,0,0,0,1,1,17,1,77,31,1,0,3
2,8,2,0,1,0,1,0,1,18,2,78,32,1,1,0
3,9,1,1,1,0,0,1,1,19,3,79,33,1,0,1
4,10,1,2,0,0,0,0,2,20,4,80,34,1,1,2
5,11,2,3,1,0,0,1,0,21,5,81,35,0,0,3
6,0,0,0,0,0,1,0,0,22,6,82,36,1,1,0
7,1,0,2,0,0,1,0,2,23,7,83,37,0,1,0
7,2,1,1,0,0,0,1,1,24,9,84,38,1,0,1
8,3,2,0,1,0,1,0,1,25,10,85,39,0,1,2
9,4,0,1,1,0,0,1,1,26,11,86,41,0,0,3
1,5,2,2,0,0,1,0,2,27,0,87,43,1,1,0
5,6,0,3,1,0,0,1,0,28,1,88,44,0,0,1
6,7,1,3,0,0,1,0,2,29,2,89,46,1,1,0
2,8,2,0,1,0,1,1,0,30,3,90,50,1,0,2
5,9,0,3,1,0,0,1,1,31,4,91,51,0,1,3
9,10,1,1,1,0,1,1,1,1,5,92,55,0,0,3
1,11,2,2,1,0,0,0,2,2,6,93,58,0,1,0
2,0,0,3,1,0,0,1,0,3,7,94,63,0,0,1
1,1,2,0,1,0,1,0,2,4,8,95,1,0,1,2
2,3,0,1,0,0,0,0,0,5,11,96,2,1,0,3
3,4,1,2,0,0,1,0,2,6,0,97,3,1,0,3
4,5,1,0,0,0,0,1,1,7,1,98,4,0,1,1
8,6,0,1,0,0,1,0,0,8,2,99,5,1,0,3
4,7,2,2,0,1,0,0,2,9,3,0,6,0,0,2
5,8,0,3,1,1,1,1,0,10,4,1,7,1,1,0
7,9,1,0,0,1,1,0,2,11,5,2,8,1,0,1
3,10,2,1,0,1,0,1,1,12,6,3,9,0,1,2
8,11,0,2,1,1,0,1,0,13,7,4,10,0,0,3
9,0,1,3,0,1,1,0,1,14,8,5,11,0,1,1
4,1,2,2,0,1,0,1,2,15,9,6,12,1,0,2
1,2,1,1,0,1,1,0,0,16,10,7,13,1,1,0
6,3,2,0,1,1,0,1,1,17,0,8,14,0,0,2
7,4,0,1,0,1,1,0,2,18,1,9,15,1,1,3
2,5,2,0,1,1,0,1,1,19,2,10,16,0,0,0
3,6,0,3,0,1,0,0,2,20,3,11,17,0,1,3
4,7,0,0,0,1,1,0,0,21,4,12,18,1,0,1
5,8,2,1,0,1,0,0,2,22,5,13,19,1,1,3
4,9,1,2,0,1,1,1,1,23,6,14,20,1,0,1
5,10,2,3,0,1,1,0,2,24,7,15,21,1,1,2
6,11,2,1,0,1,0,1,1,25,8,16,22,1,0,0
9,0,1,2,0,1,1,0,2,26,9,17,23,1,1,1
8,1,0,3,1,1,0,1,1,27,11,18,24,0,1,2
9,2,1,0,0,1,0,0,0,28,0,19,25,0,0,2
1,3,2,1,1,1,1,1,0,29,1,20,26,0,1,3
7,4,0,2,1,1,1,1,0,30,2,21,27,0,0,0
9,5,2,1,1,1,1,0,0,31,3,22,28,1,1,1
6,6,1,2,1,1,1,1,1,1,4,23,29,1,0,0
2,7,0,3,1,1,0,1,0,2,5,24,30,0,1,1
8,8,1,0,1,1,0,0,2,3,6,25,31,0,0,2
3,9,2,3,1,1,0,1,2,4,7,26,32,0,1,3
8,10,0,2,0,1,1,0,2,5,8,27,33,1,0,0
5,11,2,3,1,1,1,0,0,6,10,28,34,0,1,1
6,0,0,0,0,1,0,1,1,7,11,29,35,1,0,2
7,1,1,1,1,1,1,0,2,8,10,30,36,1,1,3
3,2,1,1,1,1,0,1,0,9,11,31,37,1,0,3
4,3,2,2,0,1,0,0,0,10,2,32,38,1,1,2
1,4,0,3,1,1,0,1,0,11,3,33,39,0,0,3
1,5,1,0,0,1,1,0,2,12,4,34,41,1,1,1
2,6,2,1,0,1,1,0,0,13,5,35,43,0,1,2
3,7,2,2,0,1,0,1,1,14,6,36,44,1,0,3
7,8,0,0,1,1,1,0,1,15,7,37,46,0,1,2
8,9,0,3,1,1,0,1,1,16,8,38,50,0,0,1
9,10,1,0,0,1,1,0,0,17,9,39,51,1,1,2
4,11,2,2,1,1,0,1,2,18,9,40,55,0,0,0
5,0,0,3,0,1,1,0,0,19,10,41,58,1,1,1
6,1,1,0,1,1,1,1,1,20,0,42,63,1,0,3
2,2,1,3,1,1,0,1,1,21,1,43,1,0,1,3
3,4,2,0,1,1,1,1,2,22,2,44,2,0,0,0
5,5,0,1,1,1,0,0,0,23,3,45,3,0,1,0
8,6,1,2,1,1,0,1,1,24,4,46,4,0,0,0
9,7,2,3,1,1,1,0,2,25,5,47,5,0,1,1
4,8,0,0,1,1,0,1,1,26,7,48,6,1,0,0
6,9,1,1,0,1,1,0,2,27,8,49,7,1,0,1
6,10,0,1,1,1,0,1,0,28,9,50,8,0,1,2
7,11,1,3,0,1,1,0,2,29,10,51,9,1,0,3
4,0,2,0,0,1,0,0,0,30,11,52,10,1,1,0
1,1,0,1,0,1,0,1,1,31,0,53,11,0,0,2
2,2,2,0,0,1,1,0,2,1,1,54,12,0,1,0
3,3,0,0,0,1,1,1,1,2,2,55,13,1,0,1
9,4,2,2,0,1,1,0,2,3,3,56,14,1,1,0
2,5,1,2,0,1,0,1,0,4,6,57,15,0,0,1
1,6,1,3,1,1,1,0,2,5,7,58,16,1,1,2
7,7,2,0,0,1,0,1,1,6,8,59,17,1,0,2
8,8,0,1,1,1,1,0,0,7,9,60,18,0,1,3
9,9,1,2,0,1,0,1,1,8,11,61,19,0,0,1
1,10,2,3,1,1,1,0,0,9,0,62,20,0,1,2
2,11,0,0,1,1,0,1,1,10,1,63,21,0,0,3
5,0,1,0,1,1,1,0,2,11,4,64,22,0,1,3
6,1,2,0,1,1,0,1,0,12,5,65,23,0,0,0
7,2,2,1,0,1,1,0,1,13,6,66,24,1,0,1
8,3,0,2,1,1,1,1,2,14,7,67,25,1,1,3
3,4,1,3,0,1,0,0,1,15,10,68,26,1,0,1
4,5,2,0,0,1,0,0,2,16,11,69,27,1,1,2
5,6,0,3,0,1,0,1,2,17,4,70,28,0,0,3
1,7,0,3,0,1,0,0,0,18,5,71,29,0,1,3
4,8,2,0,0,1,1,0,0,19,9,72,30,1,0,0
5,9,0,1,0,1,1,1,1,20,10,73,31,1,1,0
6,10,1,2,0,1,1,0,2,21,0,74,32,1,0,1
7,11,2,0,1,1,0,1,0,22,1,75,33,0,1,3
8,0,1,1,0,1,0,1,1,23,2,76,34,1,0,0
9,1,0,2,1,1,1,0,2,24,3,77,35,0,1,0
3,2,1,3,0,1,0,1,0,25,4,78,36,0,0,1
2,3,2,3,0,1,1,0,2,26,6,79,37,0,1,2
5,4,0,3,1,1,1,1,1,27,7,80,38,0,0,3
2,5,1,2,0,1,1,0,1,28,8,81,39,1,1,0
3,6,1,2,1,1,0,1,2,29,9,82,41,0,0,2
8,7,1,0,1,1,0,1,0,30,10,83,43,1,0,1
6,8,2,1,1,1,1,0,2,31,11,84,44,0,1,0
1,9,0,2,0,1,0,1,0,1,0,85,46,1,0,1
7,10,1,1,0,1,1,0,2,2,4,86,50,1,1,2
4,11,0,1,1,1,0,1,1,3,5,87,51,0,0,1
7,0,2,0,0,1,1,0,1,4,2,88,55,1,1,0
4,1,0,1,1,1,0,1,0,5,3,89,58,0,0,2
9,2,1,2,0,1,0,0,1,6,6,90,63,0,1,3
1,3,2,1,0,1,1,0,0,7,7,91,1,1,0,0
5,5,0,2,0,1,0,0,2,8,8,92,2,1,1,2
6,6,1,3,0,1,1,1,1,9,1,93,3,1,0,3
9,7,2,1,0,1,1,0,2,10,6,94,4,1,1,2
3,8,0,2,0,1,0,1,0,11,11,95,5,1,0,1
7,9,1,3,1,1,1,1,1,12,0,96,6,0,1,1
1,10,2,1,1,1,0,1,0,13,1,97,7,0,1,2
2,11,0,2,1,1,1,0,2,14,3,98,8,1,0,3
5,0,1,3,1,1,0,1,1,15,5,99,9,0,1,0
6,4,0,0,1,2,1,0,0,16,6,0,10,1,0,2
8,5,1,1,0,2,0,1,1,17,7,1,11,0,1,3
9,6,2,2,1,2,1,1,2,18,8,2,12,0,1,0
7,7,0,2,1,2,0,1,0,19,11,3,13,0,1,1
1,8,2,3,0,2,1,1,1,20,9,4,14,0,0,0
4,1,2,0,1,2,0,1,2,21,10,5,15,1,1,2
3,2,1,1,1,2,0,1,0,22,0,6,16,0,0,3
2,3,2,3,0,2,0,0,1,23,1,7,17,0,1,2
3,0,0,2,0,2,0,1,0,24,2,8,18,0,1,0
4,1,1,3,1,2,0,0,1,25,3,9,19,1,0,1
5,2,0,1,0,2,0,1,2,26,4,10,20,1,1,3
8,3,1,0,1,2,0,1,0,27,5,11,21,1,1,1
8,4,2,1,1,2,1,1,2,28,6,12,22,0,1,2
4,9,0,2,0,2,1,1,0,29,8,13,23,1,1,1
5,10,0,3,0,2,1,0,2,30,9,14,24,0,1,0
3,11,1,0,0,2,1,1,0,31,10,15,25,1,0,3
7,0,0,2,0,2,0,0,0,1,2,16,26,0,0,1
8,9,2,3,1,2,0,1,1,2,3,17,27,0,1,3
6,10,1,0,0,2,1,1,0,3,9,18,28,1,1,0
5,11,2,1,1,2,1,1,2,4,10,19,29,1,0,1
6,2,0,2,0,2,0,0,1,5,2,20,30,0,1,2
2,3,1,3,0,2,0,0,2,6,4,21,31,1,0,1
1,4,1,3,1,2,1,1,1,7,5,22,32,1,0,2
2,3,2,0,0,2,1,0,0,8,0,23,33,1,1,3
9,5,1,1,0,2,1,0,1,9,7,24,34,1,1,0
7,6,2,2,0,2,1,1,1,10,8,25,35,1,0,0
8,7,0,0,1,2,0,0,0,11,9,26,36,0,1,2
9,8,1,1,0,2,1,1,1,12,1,27,37,1,0,3
1,9,0,2,1,2,1,0,2,13,11,28,38,0,0,0
3,10,1,3,0,2,1,0,2,14,0,29,39,1,1,1
4,11,2,3,1,2,1,1,1,15,1,30,41,1,0,2
5,1,0,0,0,2,0,1,2,16,2,31,43,0,0,3
2,2,1,1,0,2,0,0,2,17,3,32,44,0,1,0
3,1,2,2,0,2,1,0,1,18,4,33,46,1,1,2
6,4,0,1,1,2,1,0,0,19,5,34,50,0,0,3
7,5,0,2,1,2,1,1,2,20,6,35,51,0,0,0
8,6,1,3,0,2,0,0,0,21,7,36,55,1,0,1
9,7,2,2,1,2,1,1,0,22,8,37,58,0,1,3
1,8,1,0,0,2,1,1,2,23,9,38,63,0,1,2
2,9,2,1,0,2,0,1,2,24,10,39,1,1,1,3
1,10,0,3,1,2,1,1,0,25,7,40,2,0,0,1
7,11,1,0,1,2,1,0,1,26,8,41,3,0,0,2
2,0,2,1,1,2,0,1,2,27,9,42,4,0,0,1
4,1,0,0,0,2,0,1,0,28,10,43,5,1,0,2
9,2,1,1,0,2,0,0,1,29,11,44,6,1,1,3
6,3,2,2,1,2,1,1,2,30,0,45,7,1,0,1
9,4,0,3,0,2,1,0,0,31,1,46,8,0,1,2
4,5,1,0,0,2,0,1,1,1,11,47,9,0,1,0
5,6,1,1,0,2,0,1,0,2,0,48,10,1,0,1
5,7,2,2,0,2,0,0,1,3,4,49,11,1,0,0
7,8,1,3,0,2,1,0,1,4,5,50,12,0,1,3
8,9,0,0,0,2,1,1,0,5,6,51,13,1,1,1
4,10,0,1,1,2,0,1,2,6,3,52,14,0,0,2
5,11,1,2,1,2,1,1,2,7,2,53,15,1,0,0
6,0,0,3,1,2,0,0,1,8,6,54,16,1,1,1
8,1,2,1,1,2,1,0,2,9,9,55,17,1,1,3
1,2,0,0,1,2,0,1,0,10,10,56,18,0,0,2
3,3,0,3,1,2,1,0,1,11,1,57,19,0,0,0
6,4,2,0,0,2,1,1,0,12,2,58,20,0,1,0
3,5,1,2,1,2,0,1,0,13,3,59,21,1,0,3
9,6,2,3,0,2,1,0,1,14,5,60,22,0,1,0
1,7,0,0,1,2,0,1,0,15,6,61,23,1,0,3
2,8,1,1,1,2,0,1,1,16,7,62,24,0,0,1
3,9,2,2,1,2,0,1,2,17,8,63,25,0,0,2
4,10,0,3,1,2,0,0,0,18,0,64,26,0,0,0
9,11,1,1,0,2,0,0,2,19,1,65,27,0,0,1
2,0,1,2,1,2,0,0,2,20,11,66,28,1,0,2
7,0,1,0,1,2,1,1,1,21,3,67,29,1,1,0
8,1,2,1,0,2,1,1,2,22,4,68,30,1,0,3
6,2,0,2,0,2,0,1,0,23,5,69,31,1,1,1
7,3,2,1,0,2,1,1,1,24,8,70,32,0,1,0
9,4,1,0,0,2,1,1,2,25,11,71,33,0,0,2
1,6,1,3,1,2,0,1,2,26,0,72,34,1,0,3
3,7,2,0,0,2,1,0,0,27,1,73,35,0,1,2
4,8,2,3,0,2,1,1,0,28,2,74,36,1,0,3
5,10,0,2,1,2,0,0,1,29,3,75,37,0,1,0
6,11,2,3,0,2,1,1,0,30,6,76,38,1,1,1
7,0,2,0,1,2,0,0,0,31,9,77,39,1,0,2
8,1,0,1,0,2,0,0,2,1,10,78,41,0,0,3
9,2,0,2,0,2,1,1,0,2,11,79,43,0,0,0
1,3,2,0,1,2,1,1,0,3,0,80,44,1,1,1
9,4,0,1,0,2,0,0,2,4,1,81,46,0,1,2
3,5,2,3,0,2,1,1,1,5,7,82,50,1,0,3
2,6,2,1,0,2,0,1,1,6,8,83,51,1,0,2
5,7,0,2,1,2,0,1,0,7,10,84,55,0,0,3
6,8,1,3,0,2,0,0,2,8,4,85,58,1,1,0
8,9,2,0,1,2,0,0,0,9,5,86,63,1,0,1
8,10,1,3,0,2,0,0,0,10,11,87,1,1,1,2
4,11,1,2,1,2,0,0,2,11,0,88,2,0,0,3
2,0,2,0,0,2,1,0,1,12,10,89,3,1,1,1
5,1,0,1,1,2,1,1,2,13,2,90,4,0,0,0
6,2,1,2,1,2,0,1,2,14,1,91,5,1,1,1
1,3,2,3,1,2,0,0,0,15,4,92,6,1,1,0
2,0,0,0,1,2,1,1,0,16,5,93,7,1,1,1
3,1,1,2,1,2,1,0,1,17,10,94,8,1,0,3
8,2,1,1,1,2,0,0,1,18,7,95,9,1,1,0
9,1,2,2,1,2,0,1,2,19,8,96,10,0,0,2
4,2,0,3,1,2,1,0,1,20,2,97,11,1,1,1
5,9,2,1,0,2,0,0,0,21,6,98,12,1,1,2
6,10,2,0,0,2,0,0,2,22,7,99,13,0,0,3
7,11,0,3,1,3,1,0,1,23,4,0,14,1,0,0
1,4,1,0,0,3,0,1,2,24,5,1,15,0,1,1
2,5,2,1,0,3,1,0,1,25,9,2,16,0,0,2
4,8,0,2,0,3,0,1,0,26,2,3,17,0,0,3
5,6,1,0,0,3,0,1,2,27,3,4,18,0,1,1
3,7,0,1,1,3,1,0,0,28,4,5,19,1,0,0
9,5,0,0,1,3,1,1,0,29,7,6,20,0,0,1
6,6,2,2,0,3,1,0,0,30,8,7,21,1,0,3
8,7,1,3,0,3,0,1,1,31,11,8,22,1,1,1
3,8,2,0,0,3,0,1,1,1,6,9,23,1,1,2
4,9,1,2,1,3,1,0,1,2,8,10,24,0,0,2
1,10,0,1,0,3,0,1,1,3,1,11,25,0,1,0
2,2,1,2,0,3,1,1,1,4,9,12,26,1,1,0
3,0,2,3,1,3,1,0,0,5,10,13,27,0,1,2
8,1,2,0,1,3,0,1,0,6,0,14,28,0,0,3
9,3,0,1,1,3,1,0,1,7,8,15,29,0,0,0
1,4,0,0,1,3,1,0,0,8,1,16,30,1,1,3
7,4,2,1,1,3,1,1,0,9,2,17,31,0,1,0
4,5,2,2,0,3,0,0,1,10,3,18,32,1,0,1
1,6,0,3,0,3,1,0,2,11,7,19,33,1,0,3
2,7,2,0,1,3,1,0,2,12,3,20,34,0,1,0
4,8,0,0,0,3,1,1,2,13,4,21,35,0,0,3
5,9,1,0,0,3,0,0,2,14,9,22,36,0,1,0
8,11,1,1,0,3,0,0,1,15,8,23,37,0,0,2
7,0,0,2,1,3,0,1,1,16,9,24,38,1,0,3
6,7,1,3,1,3,0,0,2,17,11,25,39,0,0,1
6,8,0,1,0,3,0,1,1,18,0,26,41,1,0,1
7,3,2,3,1,3,0,1,0,19,4,27,43,1,0,1
8,4,2,0,0,3,1,1,0,20,5,28,44,0,1,2
9,5,0,1,1,3,0,1,0,21,6,29,46,1,0,3
1,6,1,2,0,3,0,1,2,22,11,30,50,0,0,0
9,7,1,2,1,3,1,0,1,23,0,31,51,0,0,1
3,5,2,3,1,3,0,0,1,24,6,32,55,0,0,1
7,9,0,0,0,3,0,1,1,25,2,33,58,1,0,0
3,10,1,3,1,3,1,1,2,26,10,34,63,0,0,0
4,11,0,0,0,3,1,0,2,27,4,35,1,0,1,3
6,0,2,1,0,3,1,1,2,28,5,36,2,0,0,2
8,1,0,3,0,3,0,1,2,29,6,37,3,1,1,0
7,2,0,1,1,3,1,1,2,30,7,38,4,0,0,3
1,3,2,2,0,3,0,0,1,31,6,39,5,0,0,0
2,4,0,1,1,3,1,1,2,1,3,40,6,0,1,3
3,5,0,2,0,3,1,1,2,2,7,41,7,0,0,0
4,6,0,3,0,3,0,0,1,3,8,42,8,1,1,2
5,7,2,2,0,3,0,1,1,4,4,43,9,0,0,1
2,8,1,2,1,3,1,1,0,5,5,44,10,1,0,1
6,9,1,3,0,3,1,1,1,6,9,45,11,1,1,2
2,10,2,0,1,3,0,1,1,7,3,46,12,0,0,3
3,11,2,1,0,3,0,1,0,8,9,47,13,0,0,2
3,0,1,2,1,3,0,1,1,9,10,48,14,1,1,2
8,1,1,3,1,3,0,1,0,10,0,49,15,0,0,2
9,2,1,0,1,3,0,0,1,11,1,50,16,1,0,1
5,3,1,1,0,3,0,0,2,12,7,51,17,1,1,0
7,4,2,2,1,3,0,1,0,13,8,52,18,1,0,1
2,5,2,3,0,3,1,0,1,14,10,53,19,1,1,3
7,6,2,1,1,3,0,0,0,15,11,54,20,1,1,2
1,7,1,3,1,3,0,0,2,16,3,55,21,0,0,2
2,8,1,1,0,3,1,1,0,17,1,56,22,1,0,3
8,9,2,1,1,3,1,1,2,18,10,57,23,1,0,2
9,10,2,2,0,3,1,0,0,19,0,58,24,0,1,1
5,11,2,1,1,3,0,0,2,20,2,59,25,0,0,1
6,3,0,2,1,3,0,0,2,21,11,60,26,0,1,2
5,6,1,1,0,3,0,1,2,22,5,61,27,0,0,0
3,9,0,0,1,3,1,1,0,23,8,62,28,1,0,0
4,8,1,3,0,3,0,0,2,24,2,63,29,1,0,1
7,11,2,1,1,3,0,1,0,25,6,64,30,1,0,2
3,5,2,2,1,3,0,0,1,26,7,65,31,1,1,3
9,1,1,3,1,3,0,0,0,27,10,66,32,1,0,3
4,2,2,3,0,3,0,1,0,28,11,67,33,0,0,2
6,8,2,0,1,3,0,1,1,29,5,68,34,0,0,0
1,9,1,1,0,3,1,1,1,30,9,69,35,1,0,0
2,10,0,2,1,3,1,0,0,31,2,70,36,0,1,1
4,11,1,0,1,3,1,1,1,1,4,71,37,1,1,0
8,0,2,1,1,3,1,1,2,2,1,72,38,1,1,1
9,1,1,2,0,3,1,0,0,3,2,73,39,0,0,3
2,2,2,1,0,3,0,0,2,4,3,74,41,0,1,0
4,0,2,3,1,3,1,0,1,5,9,75,43,0,1,2
4,10,1,0,0,3,0,0,1,6,7,76,44,0,0,3
5,2,1,1,1,3,0,0,0,7,11,77,46,0,0,1
5,3,0,2,0,3,0,1,2,8,0,78,50,1,1,2
6,4,0,0,0,3,0,1,2,9,1,79,51,1,0,3
6,8,2,1,1,3,1,1,1,10,3,80,55,0,1,0
8,3,0,0,0,3,1,0,1,11,7,81,58,0,0,1
7,4,0,1,1,3,1,0,1,12,4,82,63,0,0,1
9,5,0,3,1,3,0,0,2,13,5,83,1,1,1,3
9,6,1,3,1,3,1,1,2,14,4,84,2,0,0,2
4,10,0,1,1,3,0,0,2,15,5,85,3,0,0,3
6,11,2,2,1,3,1,1,0,16,10,86,4,0,1,0
7,0,0,0,1,3,0,1,0,17,6,87,5,1,0,3
8,1,2,1,1,3,0,0,1,18,8,88,6,1,0,2
9,4,0,2,0,3,0,0,2,19,9,89,7,0,1,3
1,5,1,3,0,3,1,0,2,20,11,90,8,1,1,1
2,6,1,0,1,3,0,1,2,21,2,91,9,1,0,2
3,7,1,0,1,3,0,0,1,22,3,92,10,1,1,1
3,4,2,1,0,3,0,0,2,23,11,93,11,0,1,2
1,3,0,0,0,3,0,0,1,24,0,94,12,1,0,0
5,6,0,3,1,3,0,0,0,25,1,95,13,1,0,3
8,7,0,0,1,3,1,0,2,26,5,96,14,1,0,0
9,8,1,0,0,3,0,0,0,27,6,97,15,1,0,0
8,9,1,3,1,3,0,1,1,28,7,98,16,1,1,0
9,11,2,2,1,3,0,1,2,29,0,99,17,1,1,1
1,3,2,3,1,4,1,0,2,30,1,0,18,1,0,3
6,10,0,2,0,4,0,1,1,31,6,1,19,0,1,2
3,0,1,0,1,4,1,1,0,1,10,2,20,1,0,1
7,1,0,3,0,4,0,0,0,2,0,3,21,1,1,0
2,2,1,1,0,4,0,1,0,3,2,4,22,0,1,1
5,5,1,3,1,4,1,0,1,4,3,5,23,1,0,1
1,6,2,0,1,4,1,1,0,5,4,6,24,1,1,0
4,7,0,3,0,4,1,0,2,6,11,7,25,0,0,0
9,8,0,2,1,4,1,0,2,7,5,8,26,1,1,3
1,9,0,0,0,4,0,1,0,8,8,9,27,0,0,1
8,11,0,2,0,4,1,1,0,9,7,10,28,0,0,1
5,1,0,2,1,4,0,0,2,10,9,11,29,1,0,2
7,3,0,1,0,4,0,0,0,11,10,12,30,1,1,2
9,4,1,1,0,4,0,1,0,12,9,13,31,1,0,1
2,0,2,2,1,4,1,0,1,13,1,14,32,0,0,2
4,5,2,2,0,4,1,1,2,14,2,15,33,1,1,3
3,2,2,1,0,4,0,1,2,15,9,16,34,1,0,0
2,3,1,2,1,4,0,0,1,16,6,17,35,0,1,2
1,4,0,0,0,4,0,0,0,17,7,18,36,1,0,3
6,7,0,2,0,4,1,1,0,18,11,19,37,1,0,2
9,10,2,1,1,4,1,1,1,19,8,20,38,0,0,0
5,9,2,0,0,4,0,0,1,20,1,21,39,0,0,0
7,10,0,3,1,4,1,1,2,21,2,22,41,1,0,1
3,8,1,1,0,4,0,0,2,22,3,23,43,0,1,1
5,9,1,2,0,4,0,0,1,23,4,24,44,0,1,3
2,11,2,0,1,4,1,0,0,24,5,25,46,0,0,2
4,0,0,3,1,4,0,0,1,25,6,26,50,1,1,3
3,1,1,3,1,4,1,1,0,26,10,27,51,0,0,0
6,2,1,0,0,4,0,0,0,27,4,28,55,1,0,3
