# ACTS Test Suite Generation: Thu Jul 22 15:11:15 JST 2021
#  '*' represents don't care value 
# Degree of interaction coverage: 1
# Number of parameters: 20
# Maximum number of values per parameter: 128
# Number of configurations: 128
checking_status,duration,credit_history,purpose,credit_amount,saving_status,emplyoment,installment_commintment,sex,other_parties,residence,property_magnitude,age,other_emplyoment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker
2,60,4,4,90,5,3,4,1,3,1,2,4,3,2,2,4,2,1,2
2,15,3,1,91,3,3,3,0,3,3,3,5,2,1,2,2,1,1,1
4,47,3,1,92,5,4,4,0,2,4,2,1,3,1,3,1,1,1,1
4,39,0,4,93,3,4,1,1,2,2,3,7,3,1,2,3,2,1,1
3,22,3,3,94,5,4,3,1,1,2,4,2,2,1,4,4,2,2,2
3,28,3,10,95,4,1,3,1,1,2,4,4,1,1,1,3,2,1,2
4,16,1,3,96,2,2,1,1,3,3,1,6,2,1,3,4,1,1,2
1,4,3,1,98,3,1,4,1,1,1,2,7,2,2,4,1,1,1,1
3,39,3,0,99,3,1,1,1,1,1,2,6,2,3,4,4,2,2,2
2,27,2,1,101,4,2,4,0,1,3,3,2,2,1,1,1,1,2,2
1,30,3,6,102,3,4,1,0,1,2,2,6,1,3,4,1,1,1,1
3,30,4,8,103,5,4,1,0,2,1,3,1,2,1,4,4,1,2,1
4,27,3,3,104,1,5,3,1,1,1,1,7,3,2,4,2,1,1,1
4,36,1,0,106,3,3,3,0,2,1,2,2,3,1,3,2,1,1,2
4,14,3,8,107,1,1,1,0,3,1,2,4,1,2,2,1,1,2,1
4,33,1,9,108,2,4,4,1,2,4,3,6,3,3,4,4,2,2,1
3,47,4,1,109,2,4,4,0,3,3,4,2,1,3,2,2,1,2,2
1,27,0,10,110,5,2,2,0,3,2,1,2,2,1,4,3,2,1,1
3,45,3,4,113,4,4,2,0,2,2,2,1,2,2,1,3,1,2,1
4,27,3,9,115,3,5,4,1,1,4,3,2,1,3,3,4,1,2,1
1,28,3,5,117,4,1,4,1,3,2,1,3,3,1,1,1,2,1,1
4,40,0,0,118,3,2,1,1,3,4,3,2,2,3,2,3,2,2,1
2,24,1,8,119,2,5,2,1,2,1,1,4,3,1,3,1,1,2,2
1,13,4,10,121,1,4,1,1,1,2,4,5,2,3,2,2,1,2,2
3,7,3,10,122,2,2,4,0,1,3,3,1,3,2,4,4,1,2,1
3,20,0,8,123,3,5,1,0,1,1,1,7,1,3,2,4,1,1,1
2,26,1,0,125,1,3,2,1,2,2,1,1,2,1,1,3,2,2,1
1,33,0,10,126,3,2,1,0,3,2,4,4,1,1,4,3,2,1,1
2,45,0,3,127,1,1,4,1,1,2,4,6,2,3,2,2,1,2,1
4,30,0,10,129,1,2,3,0,3,2,4,1,3,3,4,4,2,1,1
3,6,4,2,137,3,2,1,1,3,4,3,3,1,1,1,1,2,1,1
4,72,3,5,140,4,3,2,0,2,4,4,1,1,1,2,1,2,1,2
4,4,2,6,141,1,5,4,0,3,4,2,5,3,3,2,2,2,2,2
3,14,1,10,143,2,2,2,0,1,1,1,1,2,2,2,1,1,1,2
2,10,4,2,144,5,5,4,1,2,1,2,1,1,2,4,4,2,1,2
1,9,4,9,145,2,2,2,0,2,3,4,3,3,2,3,2,2,2,2
4,7,2,5,147,5,2,1,1,3,4,1,6,2,3,2,3,1,1,1
2,21,0,5,148,4,1,3,0,3,1,4,6,1,1,2,3,2,2,2
1,60,0,9,156,2,3,1,0,1,4,2,5,3,1,1,4,1,1,1
2,5,3,3,158,5,1,3,1,3,3,3,4,1,3,1,2,2,1,1
4,26,0,4,159,3,5,2,1,2,2,1,7,3,2,4,1,1,2,2
1,6,1,10,184,4,3,4,1,2,4,4,5,3,2,3,3,2,2,2
