# ACTS Test Suite Generation: Thu Jul 22 15:11:19 JST 2021
#  '*' represents don't care value 
# Degree of interaction coverage: 2
# Number of parameters: 20
# Maximum number of values per parameter: 128
# Number of configurations: 4227
checking_status,duration,credit_history,purpose,credit_amount,saving_status,emplyoment,installment_commintment,sex,other_parties,residence,property_magnitude,age,other_emplyoment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker
4,18,4,5,9,2,2,4,1,2,4,4,7,2,3,3,4,2,2,2
1,20,1,6,9,2,5,4,0,1,2,3,3,2,3,4,3,1,2,1
2,21,1,8,9,5,3,1,1,3,2,1,1,1,3,1,1,2,1,2
2,22,1,9,9,5,1,3,0,2,1,1,6,3,3,4,4,1,1,2
2,24,2,10,9,5,4,4,1,3,2,1,3,1,3,2,1,2,2,2
4,26,0,0,9,5,4,4,0,1,2,3,6,3,2,2,1,1,1,2
1,27,0,1,9,3,2,1,1,3,2,3,6,2,1,3,1,2,1,2
2,28,1,2,9,4,1,3,1,2,4,1,2,3,2,2,3,2,2,2
1,30,4,3,9,1,2,1,1,1,3,1,2,2,3,4,4,2,1,1
1,33,4,4,9,1,4,1,1,1,2,4,5,2,3,2,2,1,2,2
4,36,4,5,9,5,4,3,0,1,3,4,2,2,1,3,3,2,1,1
1,39,1,6,9,3,3,2,1,1,4,4,7,2,1,3,1,2,1,2
2,40,1,8,9,5,2,4,0,1,1,2,6,1,1,2,4,1,2,2
3,42,1,9,9,4,5,2,0,2,3,3,2,3,1,4,3,1,2,2
2,45,1,10,9,3,2,3,0,3,1,2,7,2,3,2,1,1,2,1
3,47,1,0,9,2,2,4,0,1,3,2,7,2,2,4,1,2,1,2
4,48,2,1,9,2,1,1,1,1,4,4,6,3,3,1,4,2,2,2
3,54,1,2,9,1,3,1,0,1,1,1,4,3,3,4,4,2,2,1
2,60,3,3,9,3,5,4,1,1,4,2,3,1,1,1,4,1,2,1
1,72,0,4,9,3,1,4,0,3,4,4,3,3,3,2,2,1,2,2
1,4,4,5,10,4,1,3,1,3,1,4,2,3,3,3,1,2,1,1
2,5,0,6,10,5,2,4,0,1,4,1,3,1,1,4,2,1,2,2
3,6,1,8,10,1,3,1,1,2,2,2,4,2,2,1,3,1,2,1
4,7,2,9,10,2,4,2,1,1,3,3,5,1,1,2,4,1,1,1
2,8,3,10,10,3,5,1,0,2,3,1,6,3,3,1,2,1,1,1
4,9,4,0,10,5,2,1,1,1,2,4,7,2,2,4,1,1,2,1
4,10,3,1,10,4,5,1,0,3,1,2,1,2,2,3,4,2,1,2
3,11,3,2,10,3,1,3,1,3,3,4,6,3,1,4,1,1,1,2
1,12,4,3,10,5,2,2,1,1,2,3,6,3,1,4,3,1,2,1
3,13,0,4,10,4,4,3,0,3,2,1,3,1,3,3,3,2,1,1
2,14,0,5,10,2,5,1,1,3,2,2,6,2,1,3,4,1,2,2
1,15,1,6,10,1,1,4,0,1,4,3,4,3,1,2,1,2,2,2
1,16,1,8,10,2,1,3,1,3,4,4,4,2,3,4,1,2,1,2
4,18,3,9,10,1,2,3,1,3,3,3,4,1,3,2,2,1,1,2
3,20,4,10,10,5,1,3,0,1,4,3,7,3,3,1,3,1,1,2
4,21,4,0,10,4,2,2,1,3,3,3,3,2,3,1,1,1,2,1
3,22,1,1,10,4,1,3,1,3,2,2,7,1,1,1,2,1,1,1
4,24,4,2,10,1,2,3,1,2,3,4,1,2,3,3,3,2,2,1
3,26,0,3,10,1,4,3,1,1,3,4,2,3,2,3,1,1,2,1
3,27,2,4,10,2,5,3,1,2,2,1,5,1,3,2,3,2,1,2
4,28,4,5,10,2,1,4,1,2,1,4,4,1,3,4,4,2,2,1
2,30,2,6,10,3,3,3,1,2,3,3,5,2,2,2,3,1,1,2
1,33,1,8,10,5,4,4,0,1,2,1,3,1,3,4,1,1,1,2
1,36,0,9,10,4,5,2,1,3,2,2,4,1,1,1,4,2,1,2
4,39,0,10,10,4,4,3,1,1,1,3,6,1,2,3,1,2,1,2
1,40,4,0,10,2,1,3,1,2,2,2,3,3,2,1,3,1,2,1
3,42,3,1,10,1,4,4,1,1,4,4,7,2,1,4,4,1,1,1
1,45,4,2,10,2,5,2,0,2,3,4,7,2,1,1,2,2,1,2
1,47,2,3,10,5,5,4,0,3,1,1,3,1,1,1,3,2,1,1
1,48,1,4,10,5,3,2,1,3,4,3,1,1,2,4,1,2,2,2
2,54,2,5,10,5,4,4,0,3,3,3,6,3,1,4,4,2,1,1
1,60,0,6,10,4,2,4,1,3,2,4,4,3,2,4,4,1,1,2
2,72,1,8,10,4,5,4,1,3,1,3,1,1,3,1,1,1,2,2
1,4,4,9,11,4,1,3,1,3,1,4,2,3,3,3,1,2,1,1
2,5,0,10,11,5,2,4,0,1,4,1,3,1,1,4,2,1,2,2
3,6,1,0,11,1,3,1,1,2,2,2,4,2,2,1,3,1,1,1
4,7,2,1,11,2,4,2,1,3,3,3,5,1,2,2,4,1,2,1
3,8,3,2,11,3,5,3,1,1,4,1,6,2,2,3,3,2,2,2
4,9,1,3,11,5,4,1,0,3,3,4,7,3,1,1,1,2,1,2
3,10,2,4,11,3,4,3,1,3,1,4,1,2,1,4,1,1,2,2
3,11,1,5,11,3,2,3,1,3,1,2,6,1,3,1,3,1,2,2
1,12,0,6,11,5,5,2,0,1,2,1,3,3,2,1,1,2,1,1
2,13,0,8,11,5,3,2,0,1,4,3,3,2,1,2,4,2,1,2
4,14,1,9,11,1,3,4,1,2,1,3,2,3,3,1,3,1,2,1
1,15,1,10,11,4,2,1,0,1,1,3,6,3,1,2,1,2,2,1
2,16,4,0,11,5,3,1,0,3,1,3,6,1,2,3,1,1,2,2
4,18,4,1,11,5,4,2,0,1,1,3,3,3,1,2,2,1,1,2
2,20,2,2,11,5,5,4,1,2,1,4,2,2,3,4,2,1,1,2
4,21,0,3,11,3,5,2,1,1,1,3,2,3,3,3,3,2,2,2
4,22,1,4,11,1,2,3,1,1,1,1,1,2,1,1,1,1,1,1
3,24,3,5,11,2,4,4,0,2,2,2,4,2,1,2,3,2,2,2
4,26,1,6,11,1,4,1,0,3,4,3,2,1,3,3,4,1,2,2
4,27,2,8,11,1,1,2,1,3,2,4,3,2,1,1,1,1,2,1
2,28,4,9,11,4,3,3,0,3,3,4,4,1,2,1,4,1,2,1
4,30,2,10,11,1,1,2,0,1,4,3,4,3,3,3,2,2,2,2
2,33,1,0,11,5,4,4,0,1,1,3,1,2,1,3,4,1,1,1
2,36,2,1,11,3,2,1,0,2,1,1,3,2,3,1,1,1,2,2
3,39,4,2,11,1,4,3,1,1,1,4,7,3,2,4,1,2,2,1
3,40,1,3,11,4,1,4,0,1,4,2,2,1,2,4,3,1,2,1
4,42,4,4,11,2,2,1,1,1,4,4,6,3,3,4,2,2,2,2
2,45,2,5,11,4,3,3,0,2,1,1,4,2,1,2,1,2,1,1
4,47,1,6,11,5,1,2,0,1,1,1,3,1,3,2,4,1,1,2
2,48,3,8,11,2,2,2,1,1,4,1,7,1,1,1,3,1,1,1
2,54,1,9,11,3,5,1,0,1,1,3,3,2,3,3,1,1,1,2
3,60,2,10,11,2,1,1,0,1,2,3,1,2,1,1,4,1,2,2
4,72,1,0,11,2,2,4,1,3,2,1,7,3,3,4,2,2,1,2
1,4,4,1,12,4,1,3,1,3,1,4,2,3,3,3,1,2,1,1
2,5,0,2,12,5,2,4,0,1,4,1,3,1,1,4,2,1,2,2
3,6,1,3,12,1,3,1,0,2,2,2,4,2,2,1,3,1,2,1
4,7,2,4,12,2,4,2,1,2,3,3,5,1,1,2,4,1,1,2
4,8,3,5,12,3,5,4,1,2,1,4,6,1,1,4,1,1,2,2
4,9,4,6,12,4,1,4,0,3,1,2,7,3,3,3,1,2,2,1
3,10,4,8,12,2,3,4,0,1,1,4,1,2,1,1,2,2,1,1
1,11,0,9,12,1,5,2,1,1,3,1,1,2,3,3,4,1,1,2
4,12,4,10,12,4,5,2,0,3,4,4,2,1,2,2,2,2,2,1
